measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	M_N[Am2]	moment[Am2]
18.34	-1.33933E-08	6.22738E-09	-6.97338E-09	-1.33933E-08	1.63337E-08
26.43	-2.11322E-08	2.72022E-08	-9.01228E-09	-2.11322E-08	3.56055E-08
32.02	-2.13378E-08	3.35598E-08	-8.73076E-09	-2.13378E-08	4.0716E-08
37.88	-2.06306E-08	3.55485E-08	-8.08256E-09	-2.06306E-08	4.18885E-08
42.43	-1.9177E-08	3.56521E-08	-7.59418E-09	-1.9177E-08	4.11886E-08
47.01	-1.78074E-08	3.48225E-08	-7.06426E-09	-1.78074E-08	3.97444E-08
51.57	-1.67812E-08	3.38238E-08	-6.63824E-09	-1.67812E-08	3.8337E-08
54.84	-1.6047E-08	3.26085E-08	-6.30524E-09	-1.6047E-08	3.68859E-08
58.29	-1.47436E-08	3.15261E-08	-6.0458E-09	-1.47436E-08	3.53245E-08
63.3	-1.42073E-08	3.03172E-08	-5.81488E-09	-1.42073E-08	3.39823E-08
66.25	-1.35195E-08	2.93809E-08	-5.50489E-09	-1.35195E-08	3.28073E-08
69.85	-1.31715E-08	2.83124E-08	-5.3863E-09	-1.31715E-08	3.16875E-08
73.26	-1.20015E-08	2.75797E-08	-5.25056E-09	-1.20015E-08	3.05326E-08
76	-1.20339E-08	2.65037E-08	-5.12934E-09	-1.20339E-08	2.95562E-08
78.62	-1.0899E-08	2.59098E-08	-4.95768E-09	-1.0899E-08	2.85427E-08
82.61	-1.09217E-08	2.48688E-08	-4.96316E-09	-1.09217E-08	2.76111E-08
86.17	-1.01852E-08	2.41799E-08	-4.74352E-09	-1.01852E-08	2.66628E-08
89.82	-1.01594E-08	2.27915E-08	-4.7119E-09	-1.01594E-08	2.53943E-08
93.47	-1.01025E-08	2.18748E-08	-4.63048E-09	-1.01025E-08	2.45359E-08
97.49	-8.68028E-09	2.06035E-08	-4.38506E-09	-8.68028E-09	2.27833E-08
100.97	-8.20275E-09	1.94697E-08	-4.26626E-09	-8.20275E-09	2.15535E-08
104.76	-7.607E-09	1.80825E-08	-4.18492E-09	-7.607E-09	2.00589E-08
108.28	-8.00335E-09	1.68589E-08	-4.08852E-09	-8.00335E-09	1.91047E-08
111.65	-7.22605E-09	1.70574E-08	-3.78726E-09	-7.22605E-09	1.8908E-08
115.02	-7.0108E-09	1.60558E-08	-3.72816E-09	-7.0108E-09	1.79119E-08
119.12	-6.7432E-09	1.50723E-08	-3.69678E-09	-6.7432E-09	1.69207E-08
123.35	-6.63027E-09	1.41549E-08	-3.70854E-09	-6.63027E-09	1.60647E-08
127.07	-6.58485E-09	1.3476E-08	-3.61774E-09	-6.58485E-09	1.54289E-08
130.25	-6.1231E-09	1.26075E-08	-3.60142E-09	-6.1231E-09	1.4471E-08
133.58	-5.7669E-09	1.19611E-08	-3.51042E-09	-5.7669E-09	1.37349E-08
136.62	-5.24783E-09	1.13263E-08	-3.51626E-09	-5.24783E-09	1.29688E-08
139.97	-4.7453E-09	1.08071E-08	-3.43996E-09	-4.7453E-09	1.2294E-08
142.94	-4.3966E-09	1.02709E-08	-3.44644E-09	-4.3966E-09	1.16919E-08
145.89	-4.72885E-09	9.859E-09	-3.37598E-09	-4.72885E-09	1.14437E-08
148.8	-4.56715E-09	9.47686E-09	-3.4319E-09	-4.56715E-09	1.10656E-08
151.2	-4.72525E-09	9.19277E-09	-3.3809E-09	-4.72525E-09	1.0875E-08
153.95	-4.1295E-09	8.96132E-09	-3.30782E-09	-4.1295E-09	1.04067E-08
156.39	-4.3488E-09	8.71465E-09	-3.3639E-09	-4.3488E-09	1.0304E-08
158.79	-4.4577E-09	8.5757E-09	-3.28856E-09	-4.4577E-09	1.02092E-08
161.15	-4.29946E-09	8.14572E-09	-3.3218E-09	-4.29946E-09	9.79145E-09
163.53	-3.24607E-09	7.96986E-09	-3.3301E-09	-3.24607E-09	9.22742E-09
165.99	-3.9879E-09	7.83181E-09	-3.333E-09	-3.9879E-09	9.39944E-09
168.57	-4.59095E-09	7.65904E-09	-3.33654E-09	-4.59095E-09	9.53259E-09
171.46	-4.08088E-09	7.45405E-09	-3.33324E-09	-4.08088E-09	9.12836E-09
174.74	-3.651E-09	7.26264E-09	-3.24264E-09	-3.651E-09	8.7516E-09
178.21	-3.5496E-09	7.16548E-09	-3.21524E-09	-3.5496E-09	8.61867E-09
181.61	-3.72055E-09	6.86647E-09	-3.25738E-09	-3.72055E-09	8.46176E-09
184.8	-3.4488E-09	6.95666E-09	-3.13596E-09	-3.4488E-09	8.37398E-09
187.59	-3.43626E-09	6.79888E-09	-3.18362E-09	-3.43626E-09	8.2564E-09
190.08	-3.65893E-09	6.63448E-09	-3.22362E-09	-3.65893E-09	8.23382E-09
192.21	-3.48493E-09	6.7437E-09	-3.20392E-09	-3.48493E-09	8.23937E-09
194.34	-3.59912E-09	6.83254E-09	-3.26862E-09	-3.59912E-09	8.38577E-09
196.49	-3.42868E-09	6.6764E-09	-3.24042E-09	-3.42868E-09	8.17499E-09
198.54	-3.2221E-09	6.53739E-09	-3.2237E-09	-3.2221E-09	7.96942E-09
200.51	-3.58215E-09	6.82163E-09	-3.20626E-09	-3.58215E-09	8.34545E-09
202.4	-3.05111E-09	6.75839E-09	-3.1727E-09	-3.05111E-09	8.06543E-09
204.15	-3.4527E-09	6.62736E-09	-3.18982E-09	-3.4527E-09	8.12515E-09
205.9	-2.8283E-09	6.76552E-09	-3.15018E-09	-2.8283E-09	7.98093E-09
207.67	-3.4897E-09	6.77648E-09	-3.2179E-09	-3.4897E-09	8.27367E-09
209.58	-3.0998E-09	6.73935E-09	-3.14382E-09	-3.0998E-09	8.05675E-09
211.47	-3.36749E-09	6.73169E-09	-3.19526E-09	-3.36749E-09	8.17712E-09
213.07	-3.29505E-09	6.83325E-09	-3.16408E-09	-3.29505E-09	8.21961E-09
214.79	-3.02721E-09	6.7243E-09	-3.1327E-09	-3.02721E-09	8.01212E-09
216.37	-3.45659E-09	6.82905E-09	-3.13318E-09	-3.45659E-09	8.27047E-09
218.08	-3.3877E-09	6.87444E-09	-3.12162E-09	-3.3877E-09	8.2752E-09
219.62	-3.61074E-09	6.6979E-09	-3.18954E-09	-3.61074E-09	8.2506E-09
221.22	-3.21742E-09	7.1545E-09	-3.13318E-09	-3.21742E-09	8.44722E-09
222.91	-3.364E-09	6.89296E-09	-3.13024E-09	-3.364E-09	8.28419E-09
224.47	-3.3961E-09	6.75065E-09	-3.19463E-09	-3.3961E-09	8.20429E-09
226.27	-3.62255E-09	6.83265E-09	-3.14672E-09	-3.62255E-09	8.34924E-09
227.76	-3.46045E-09	7.01249E-09	-3.11626E-09	-3.46045E-09	8.41789E-09
229.44	-3.69964E-09	6.93054E-09	-3.158E-09	-3.69964E-09	8.46715E-09
231.02	-3.61895E-09	6.92985E-09	-3.13052E-09	-3.61895E-09	8.42139E-09
232.75	-3.40845E-09	6.8627E-09	-3.17484E-09	-3.40845E-09	8.2942E-09
234.23	-3.5295E-09	6.97868E-09	-3.17279E-09	-3.5295E-09	8.43955E-09
235.83	-3.23369E-09	6.85495E-09	-3.0655E-09	-3.23369E-09	8.17584E-09
237.5	-3.52155E-09	6.78433E-09	-3.24348E-09	-3.52155E-09	8.30353E-09
239.26	-3.2381E-09	6.77645E-09	-3.14422E-09	-3.2381E-09	8.14197E-09
240.78	-3.30645E-09	6.92644E-09	-3.15318E-09	-3.30645E-09	8.29763E-09
242.26	-3.33965E-09	6.87794E-09	-3.14686E-09	-3.33965E-09	8.26813E-09
243.77	-3.55425E-09	6.9112E-09	-3.13605E-09	-3.55425E-09	8.38046E-09
245.25	-3.5706E-09	6.92275E-09	-3.12788E-09	-3.5706E-09	8.39388E-09
246.69	-3.60243E-09	6.86325E-09	-3.17254E-09	-3.60243E-09	8.37536E-09
248.16	-3.61463E-09	6.86265E-09	-3.20392E-09	-3.61463E-09	8.39206E-09
249.67	-3.65947E-09	6.92978E-09	-3.05092E-09	-3.65947E-09	8.40962E-09
251.05	-3.66705E-09	6.84765E-09	-3.16408E-09	-3.66705E-09	8.38743E-09
252.46	-3.76843E-09	6.91135E-09	-3.09113E-09	-3.76843E-09	8.45712E-09
253.9	-3.95555E-09	6.79555E-09	-3.15018E-09	-3.95555E-09	8.47051E-09
255.43	-3.3716E-09	7.00155E-09	-3.0937E-09	-3.3716E-09	8.36423E-09
256.77	-3.85355E-09	7.1059E-09	-3.09948E-09	-3.85355E-09	8.65739E-09
258.07	-3.4326E-09	7.1917E-09	-3.08516E-09	-3.4326E-09	8.54526E-09
259.6	-3.55373E-09	6.96345E-09	-3.11052E-09	-3.55373E-09	8.41391E-09
260.92	-3.6996E-09	6.91945E-09	-3.12468E-09	-3.6996E-09	8.44568E-09
262.42	-3.8253E-09	6.9307E-09	-3.08751E-09	-3.8253E-09	8.49707E-09
263.74	-4.23855E-09	6.91866E-09	-3.0987E-09	-4.23855E-09	8.68534E-09
265.04	-3.53385E-09	7.2252E-09	-3.04044E-09	-3.53385E-09	8.5986E-09
266.32	-3.68407E-09	7.1919E-09	-3.12421E-09	-3.68407E-09	8.66351E-09
267.57	-3.6354E-09	7.0382E-09	-3.09354E-09	-3.6354E-09	8.50426E-09
268.92	-3.54155E-09	7.06444E-09	-3.07959E-09	-3.54155E-09	8.48132E-09
270.18	-3.6353E-09	7.19544E-09	-2.98662E-09	-3.6353E-09	8.59707E-09
271.37	-3.48945E-09	7.1209E-09	-3.02542E-09	-3.48945E-09	8.48744E-09
272.64	-3.51365E-09	7.21415E-09	-3.05089E-09	-3.51365E-09	8.58473E-09
273.89	-3.26211E-09	7.36444E-09	-2.9529E-09	-3.26211E-09	8.57881E-09
275.1	-3.30637E-09	7.17734E-09	-3.05164E-09	-3.30637E-09	8.47106E-09
276.32	-3.71189E-09	7.21052E-09	-3.03118E-09	-3.71189E-09	8.65782E-09
277.58	-3.6919E-09	7.15479E-09	-3.09314E-09	-3.6919E-09	8.62489E-09
278.83	-3.62305E-09	7.2517E-09	-3.02576E-09	-3.62305E-09	8.65268E-09
279.99	-3.73215E-09	7.28145E-09	-3.0033E-09	-3.73215E-09	8.71598E-09
281.17	-3.586E-09	7.37132E-09	-3.02322E-09	-3.586E-09	8.73703E-09
282.37	-3.60285E-09	7.40856E-09	-3.03977E-09	-3.60285E-09	8.78109E-09
283.52	-3.72795E-09	7.24055E-09	-2.98376E-09	-3.72795E-09	8.67329E-09
