measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]
16.07	-4.11326E-09	6.90794E-09	-3.58962E-09	8.80477E-09
17.64	-4.2264E-09	7.824E-09	-3.61234E-09	9.59825E-09
19.18	-4.50592E-09	8.6246E-09	-3.5443E-09	1.03561E-08
20.65	-4.74174E-09	9.395E-09	-3.56964E-09	1.11127E-08
22.17	-5.11E-09	1.00154E-08	-3.55054E-09	1.1791E-08
23.6	-4.9441E-09	1.02502E-08	-3.5111E-09	1.19096E-08
24.89	-4.7254E-09	1.03016E-08	-3.44338E-09	1.18453E-08
26.21	-4.68825E-09	1.05527E-08	-3.36692E-09	1.20281E-08
27.47	-5.13825E-09	1.06263E-08	-3.24872E-09	1.22423E-08
28.75	-4.74915E-09	1.06398E-08	-3.26E-09	1.2099E-08
30.09	-5.0936E-09	1.06647E-08	-3.21484E-09	1.22481E-08
31.27	-4.5427E-09	1.06846E-08	-3.15574E-09	1.20315E-08
32.41	-4.40095E-09	1.0419E-08	-3.10502E-09	1.17288E-08
33.82	-4.3398E-09	1.03622E-08	-3.11026E-09	1.16569E-08
35.11	-4.48615E-09	1.03063E-08	-3.09636E-09	1.1659E-08
35.99	-4.03205E-09	1.00378E-08	-3.0572E-09	1.12411E-08
37.17	-3.70845E-09	1.01139E-08	-3.0431E-09	1.11939E-08
38.39	-4.24695E-09	1.00153E-08	-3.01446E-09	1.12885E-08
39.59	-3.83405E-09	1.01064E-08	-2.96982E-09	1.12098E-08
40.73	-3.94301E-09	9.86656E-09	-2.98384E-09	1.10363E-08
41.93	-3.91849E-09	9.77616E-09	-2.94992E-09	1.09375E-08
43.12	-3.9147E-09	9.51086E-09	-2.927E-09	1.06934E-08
44.29	-3.91894E-09	9.3204E-09	-2.9187E-09	1.05236E-08
45.37	-3.76425E-09	9.44362E-09	-2.89618E-09	1.05707E-08
46.49	-3.5503E-09	9.24182E-09	-2.89026E-09	1.03136E-08
47.33	-3.49745E-09	9.21896E-09	-2.86798E-09	1.02687E-08
48.45	-3.91862E-09	9.08844E-09	-2.88518E-09	1.03092E-08
49.61	-3.42426E-09	9.06572E-09	-2.89936E-09	1.01153E-08
50.68	-3.481E-09	9.04304E-09	-2.848E-09	1.00998E-08
51.83	-3.74867E-09	8.89746E-09	-2.86218E-09	1.00702E-08
52.97	-3.37195E-09	8.60962E-09	-2.8623E-09	9.67928E-09
54.15	-3.44907E-09	8.65435E-09	-2.89046E-09	9.75442E-09
55.26	-3.1488E-09	8.48626E-09	-2.81674E-09	9.47975E-09
56.39	-3.34305E-09	8.70628E-09	-2.80344E-09	9.7383E-09
57.54	-3.1938E-09	8.32175E-09	-2.9216E-09	9.38017E-09
