measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]
15.94	-4.10511E-09	2.06814E-09	-3.00374E-09	5.49104E-09
17.62	-4.1738E-09	3.26836E-09	-3.0149E-09	6.09856E-09
19.28	-4.72955E-09	4.1144E-09	-3.0342E-09	6.96443E-09
20.79	-4.97243E-09	4.6937E-09	-3.00854E-09	7.47042E-09
22.2	-4.76555E-09	5.2434E-09	-2.96934E-09	7.68249E-09
23.5	-4.82625E-09	5.50892E-09	-2.97462E-09	7.90501E-09
24.85	-4.44106E-09	5.73359E-09	-2.85679E-09	7.79476E-09
26.23	-5.34135E-09	5.80096E-09	-2.85708E-09	8.38714E-09
27.72	-4.56265E-09	6.09989E-09	-2.78624E-09	8.11108E-09
29.09	-4.82675E-09	6.18596E-09	-2.74998E-09	8.31421E-09
30.28	-4.92423E-09	6.4327E-09	-2.64198E-09	8.52101E-09
31.6	-4.66397E-09	6.2986E-09	-2.6197E-09	8.26364E-09
32.87	-4.74915E-09	6.4326E-09	-2.6228E-09	8.41498E-09
34.31	-4.7573E-09	6.46276E-09	-2.54034E-09	8.41739E-09
35.7	-4.68432E-09	6.54166E-09	-2.52946E-09	8.43411E-09
37.12	-4.98415E-09	6.36926E-09	-2.48402E-09	8.46047E-09
38.33	-4.7451E-09	6.22344E-09	-2.4818E-09	8.21015E-09
39.53	-4.5551E-09	6.1375E-09	-2.47846E-09	8.03496E-09
40.8	-4.26765E-09	5.99852E-09	-2.403E-09	7.744E-09
41.99	-4.24325E-09	5.98764E-09	-2.43398E-09	7.73183E-09
43.22	-4.36895E-09	5.77039E-09	-2.3408E-09	7.60687E-09
44.37	-4.42557E-09	5.78236E-09	-2.4389E-09	7.67917E-09
45.61	-3.63555E-09	5.59536E-09	-2.34382E-09	7.0724E-09
46.79	-3.83783E-09	5.44524E-09	-2.3433E-09	7.06191E-09
48.21	-3.44855E-09	5.50914E-09	-2.34902E-09	6.91093E-09
49.41	-3.6549E-09	5.333E-09	-2.39668E-09	6.89516E-09
50.6	-3.781E-09	5.36686E-09	-2.36066E-09	6.97653E-09
51.83	-3.57855E-09	5.22434E-09	-2.27054E-09	6.72719E-09
52.95	-3.9793E-09	5.27674E-09	-2.35462E-09	7.01591E-09
54.2	-3.37534E-09	5.11596E-09	-2.32646E-09	6.55579E-09
55.39	-3.1931E-09	5.12344E-09	-2.29838E-09	6.45973E-09
56.6	-3.84538E-09	4.91057E-09	-2.34294E-09	6.66259E-09
57.87	-3.3231E-09	4.8622E-09	-2.27562E-09	6.31367E-09
58.67	-2.90175E-09	4.83216E-09	-2.21946E-09	6.05772E-09
59.97	-3.266E-09	4.73464E-09	-2.32674E-09	6.20462E-09
61.15	-3.49323E-09	4.8057E-09	-2.301E-09	6.37118E-09
62.32	-3.2543E-09	4.83181E-09	-2.35208E-09	6.28245E-09
63.44	-3.50179E-09	4.71658E-09	-2.35204E-09	6.32777E-09
64.69	-3.17335E-09	4.70103E-09	-2.29E-09	6.11669E-09
65.83	-3.1408E-09	4.67082E-09	-2.23018E-09	6.05433E-09
67.11	-3.53369E-09	4.63032E-09	-2.26474E-09	6.24947E-09
68.24	-3.1081E-09	4.64122E-09	-2.27888E-09	6.03279E-09
69.38	-3.42889E-09	4.62234E-09	-2.24456E-09	6.17749E-09
70.53	-3.0964E-09	4.6378E-09	-2.26712E-09	6.01969E-09
71.68	-3.61529E-09	4.55895E-09	-2.23316E-09	6.23229E-09
72.85	-3.0638E-09	4.41347E-09	-2.30152E-09	5.84488E-09
73.98	-3.37935E-09	4.50996E-09	-2.26188E-09	6.07255E-09
75.13	-3.30715E-09	4.4204E-09	-2.34338E-09	5.99738E-09
76.22	-3.1733E-09	4.54069E-09	-2.25278E-09	5.98019E-09
77.37	-3.1892E-09	4.50252E-09	-2.20548E-09	5.94204E-09
78.48	-2.93001E-09	4.47644E-09	-2.30708E-09	5.82633E-09
