measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]
300.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
299.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
298.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
297.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
296.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
295.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
294.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
293.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
292.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
291.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
290.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
289.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
288.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
287.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
286.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
285.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
284.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
283.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
282.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
281.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
280.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
279.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
278.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
277.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
276.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
275.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
274.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
273.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
272.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
271.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
270.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
269.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
268.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
267.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
266.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
265.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
264.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
263.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
262.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
261.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
260.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
259.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
258.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
257.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
256.00	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
255.36	-3.62E-09	3.92E-09	-2.33E-09	5.83E-09
254.84	-3.14E-09	4.41E-09	-2.23E-09	5.85E-09
253.45	-3.19E-09	4.05E-09	-2.27E-09	5.63E-09
252.05	-3.10E-09	4.16E-09	-2.20E-09	5.63E-09
250.40	-2.56E-09	4.17E-09	-2.22E-09	5.37E-09
248.94	-3.16E-09	4.11E-09	-2.32E-09	5.68E-09
246.46	-2.86E-09	4.17E-09	-2.21E-09	5.51E-09
245.02	-3.29E-09	3.83E-09	-2.38E-09	5.58E-09
243.63	-3.17E-09	4.07E-09	-2.21E-09	5.61E-09
242.11	-2.49E-09	4.24E-09	-2.20E-09	5.38E-09
240.60	-3.74E-09	4.16E-09	-2.18E-09	6.01E-09
239.13	-3.79E-09	4.00E-09	-2.34E-09	5.99E-09
237.41	-3.61E-09	3.98E-09	-2.31E-09	5.85E-09
235.80	-3.59E-09	3.80E-09	-2.25E-09	5.70E-09
234.29	-3.59E-09	4.00E-09	-2.34E-09	5.86E-09
232.72	-3.43E-09	4.08E-09	-2.27E-09	5.79E-09
231.00	-3.21E-09	4.04E-09	-2.30E-09	5.65E-09
229.45	-3.54E-09	4.02E-09	-2.35E-09	5.85E-09
227.66	-3.52E-09	4.11E-09	-2.36E-09	5.90E-09
226.18	-3.46E-09	4.15E-09	-2.36E-09	5.89E-09
224.50	-3.62E-09	3.90E-09	-2.29E-09	5.79E-09
222.96	-3.34E-09	3.95E-09	-2.32E-09	5.67E-09
221.31	-3.22E-09	3.99E-09	-2.31E-09	5.62E-09
219.66	-3.65E-09	3.95E-09	-2.35E-09	5.86E-09
218.04	-3.32E-09	3.90E-09	-2.32E-09	5.63E-09
216.32	-3.14E-09	3.98E-09	-2.28E-09	5.56E-09
214.65	-3.23E-09	4.13E-09	-2.33E-09	5.74E-09
212.89	-3.30E-09	3.97E-09	-2.26E-09	5.64E-09
211.21	-3.51E-09	4.04E-09	-2.35E-09	5.85E-09
209.29	-3.02E-09	4.09E-09	-2.32E-09	5.58E-09
207.28	-3.39E-09	3.78E-09	-2.41E-09	5.62E-09
205.65	-3.70E-09	3.83E-09	-2.37E-09	5.83E-09
203.71	-3.24E-09	3.87E-09	-2.35E-09	5.57E-09
201.97	-3.02E-09	3.95E-09	-2.37E-09	5.51E-09
199.88	-3.55E-09	3.82E-09	-2.36E-09	5.72E-09
197.79	-3.80E-09	3.82E-09	-2.38E-09	5.89E-09
195.78	-3.04E-09	3.91E-09	-2.22E-09	5.43E-09
193.86	-2.99E-09	3.94E-09	-2.30E-09	5.46E-09
191.61	-3.09E-09	4.05E-09	-2.29E-09	5.59E-09
189.62	-3.21E-09	3.94E-09	-2.24E-09	5.55E-09
187.10	-3.29E-09	3.89E-09	-2.29E-09	5.59E-09
184.28	-3.97E-09	4.11E-09	-2.31E-09	6.16E-09
180.78	-3.26E-09	4.09E-09	-2.21E-09	5.68E-09
176.92	-3.05E-09	4.29E-09	-2.13E-09	5.68E-09
172.83	-3.52E-09	4.41E-09	-2.27E-09	6.09E-09
168.85	-4.03E-09	4.56E-09	-2.30E-09	6.50E-09
165.73	-3.40E-09	4.99E-09	-2.28E-09	6.45E-09
163.03	-3.62E-09	4.84E-09	-2.29E-09	6.47E-09
160.51	-3.69E-09	5.17E-09	-2.25E-09	6.73E-09
157.99	-4.09E-09	5.27E-09	-2.29E-09	7.05E-09
155.26	-3.55E-09	5.35E-09	-2.33E-09	6.83E-09
152.96	-3.83E-09	5.39E-09	-2.43E-09	7.05E-09
150.14	-4.54E-09	5.61E-09	-2.36E-09	7.59E-09
147.28	-4.41E-09	5.84E-09	-2.37E-09	7.69E-09
144.37	-4.43E-09	6.39E-09	-2.30E-09	8.11E-09
141.53	-4.03E-09	6.74E-09	-2.37E-09	8.20E-09
138.31	-4.38E-09	6.93E-09	-2.38E-09	8.54E-09
135.11	-4.66E-09	7.19E-09	-2.45E-09	8.91E-09
131.67	-4.84E-09	7.90E-09	-2.40E-09	9.57E-09
128.56	-5.72E-09	8.41E-09	-2.41E-09	1.04E-08
124.75	-5.86E-09	9.14E-09	-2.42E-09	1.11E-08
120.53	-5.91E-09	9.75E-09	-2.42E-09	1.17E-08
116.30	-6.05E-09	1.06E-08	-2.36E-09	1.24E-08
112.79	-6.82E-09	1.14E-08	-2.46E-09	1.35E-08
109.37	-6.78E-09	1.24E-08	-2.49E-09	1.43E-08
105.88	-7.06E-09	1.33E-08	-2.51E-09	1.52E-08
101.92	-7.64E-09	1.43E-08	-2.54E-09	1.64E-08
98.77	-7.98E-09	1.52E-08	-2.58E-09	1.74E-08
94.55	-8.05E-09	1.64E-08	-2.65E-09	1.85E-08
90.84	-8.43E-09	1.73E-08	-2.74E-09	1.94E-08
86.99	-9.17E-09	1.82E-08	-2.77E-09	2.05E-08
83.26	-9.32E-09	1.90E-08	-2.79E-09	2.13E-08
79.26	-9.72E-09	1.95E-08	-2.87E-09	2.20E-08
76.34	-9.72E-09	2.02E-08	-2.93E-09	2.26E-08
73.53	-1.08E-08	2.10E-08	-2.95E-09	2.38E-08
70.17	-1.09E-08	2.16E-08	-3.07E-09	2.44E-08
66.50	-1.17E-08	2.27E-08	-3.11E-09	2.57E-08
62.81	-1.19E-08	2.35E-08	-3.23E-09	2.65E-08
59.46	-1.26E-08	2.46E-08	-3.43E-09	2.79E-08
55.44	-1.29E-08	2.58E-08	-3.51E-09	2.90E-08
52.09	-1.40E-08	2.68E-08	-3.84E-09	3.05E-08
47.65	-1.54E-08	2.77E-08	-4.19E-09	3.19E-08
42.76	-1.63E-08	2.84E-08	-4.64E-09	3.30E-08
38.01	-1.79E-08	2.78E-08	-5.32E-09	3.35E-08
31.77	-1.85E-08	2.61E-08	-6.13E-09	3.26E-08
25.56	-1.83E-08	1.86E-08	-6.85E-09	2.70E-08
16.42	-6.56E-09	-5.63E-09	-4.75E-09	9.87E-09
