specimen,Mx[Am2],My[Am2],Mz[Am2],MN[Am2],ME[Am2],MV[Am2],Mtot[Am2],Dec[deg],Inc[deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,Description,Meas_T[K],Mode,Type
CF-blank,-3.60595E-08,1.4228E-07,1.3478E-07,1.3478E-07,1.4228E-07,3.60595E-08,1.99273E-07,46.5506,10.4254,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,9:39:53 AM,1,,,0,,281.754,286.72,DISCRETE,
CF-blank,-2.17255E-09,-4.20336E-09,1.20725E-07,1.20725E-07,-4.20336E-09,2.17255E-09,1.20818E-07,-1.99409,1.03035,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,9:42:50 AM,1,,,0,,282.282,287.23,DISCRETE,
CF-blank,-2.59745E-09,-4.37222E-09,1.20858E-07,1.20858E-07,-4.37222E-09,2.59745E-09,1.20965E-07,-2.07186,1.2304,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,9:44:38 AM,6,,,0,,282.481,287.42,DISCRETE,
CF-blank,-2.4354E-09,-4.18474E-09,1.21006E-07,1.21006E-07,-4.18474E-09,2.4354E-09,1.21102E-07,-1.98067,1.15231,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,9:45:21 AM,6,,,0,,282.561,287.49,DISCRETE,
CF-blank,-2.50875E-09,-4.33796E-09,1.21269E-07,1.21269E-07,-4.33796E-09,2.50875E-09,1.21372E-07,-2.04868,1.18438,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,10:51:22 AM,6,,,0,,173.599,286.47,DISCRETE,
CF-blank,-2.68615E-09,-4.32393E-09,1.21517E-07,1.21517E-07,-4.32393E-09,2.68615E-09,1.21623E-07,-2.03789,1.26552,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:24:06 AM,6,,,0,,131.637,276.42,DISCRETE,
CF-blank,-2.47643E-09,-4.43951E-09,1.21529E-07,1.21529E-07,-4.43951E-09,2.47643E-09,1.21636E-07,-2.0921,1.16659,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:26:32 AM,6,,,0,,129.068,275.18,DISCRETE,
CF-blank,-2.23727E-09,-4.44323E-09,1.21572E-07,1.21572E-07,-4.44323E-09,2.23727E-09,1.21674E-07,-2.09313,1.05358,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:28:48 AM,6,,,0,,126.651,273.96,DISCRETE,
CF-blank,-2.71945E-09,-4.46145E-09,1.21637E-07,1.21637E-07,-4.46145E-09,2.71945E-09,1.21749E-07,-2.10058,1.2799,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:30:43 AM,6,,,0,,124.612,272.67,DISCRETE,
CF-blank,-2.92563E-09,-4.503E-09,1.21594E-07,1.21594E-07,-4.503E-09,2.92563E-09,1.21713E-07,-2.12086,1.37736,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:32:43 AM,6,,,0,,122.506,271.39,DISCRETE,
CF-blank,-2.77145E-09,-4.33104E-09,1.21658E-07,1.21658E-07,-4.33104E-09,2.77145E-09,1.21766E-07,-2.03888,1.30419,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:34:38 AM,6,,,0,,120.485,269.95,DISCRETE,
CF-blank,-2.94648E-09,-4.5143E-09,1.21603E-07,1.21603E-07,-4.5143E-09,2.94648E-09,1.21722E-07,-2.12603,1.38707,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:36:23 AM,6,,,0,,118.665,268.62,DISCRETE,
CF-blank,-2.81195E-09,-4.54736E-09,1.21694E-07,1.21694E-07,-4.54736E-09,2.81195E-09,1.21812E-07,-2.13998,1.32276,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:38:09 AM,6,,,0,,116.87,267.32,DISCRETE,
CF-blank,-2.80837E-09,-4.45836E-09,1.21723E-07,1.21723E-07,-4.45836E-09,2.80837E-09,1.21837E-07,-2.09765,1.3208,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:39:34 AM,6,,,0,,115.403,265.98,DISCRETE,
CF-blank,-2.6748E-09,-4.406E-09,1.21793E-07,1.21793E-07,-4.406E-09,2.6748E-09,1.21902E-07,-2.07184,1.2573,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:41:19 AM,6,,,0,,113.607,264.59,DISCRETE,
CF-blank,-2.7961E-09,-4.57032E-09,1.21828E-07,1.21828E-07,-4.57032E-09,2.7961E-09,1.21946E-07,-2.14841,1.31385,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:42:45 AM,6,,,0,,112.155,263.14,DISCRETE,
CF-blank,-2.5123E-09,-4.33498E-09,1.2182E-07,1.2182E-07,-4.33498E-09,2.5123E-09,1.21923E-07,-2.03802,1.1807,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:44:25 AM,6,,,0,,110.436,261.76,DISCRETE,
CF-blank,-2.4393E-09,-4.47647E-09,1.2182E-07,1.2182E-07,-4.47647E-09,2.4393E-09,1.21926E-07,-2.10448,1.14636,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:45:55 AM,6,,,0,,108.938,260.23,DISCRETE,
CF-blank,-2.61755E-09,-4.6487E-09,1.2192E-07,1.2192E-07,-4.6487E-09,2.61755E-09,1.22036E-07,-2.18358,1.22903,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:47:25 AM,6,,,0,,107.425,258.84,DISCRETE,
CF-blank,-2.57355E-09,-4.3311E-09,1.21863E-07,1.21863E-07,-4.3311E-09,2.57355E-09,1.21967E-07,-2.03547,1.20905,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:48:56 AM,6,,,0,,105.916,257.45,DISCRETE,
CF-blank,-2.3585E-09,-4.4802E-09,1.21973E-07,1.21973E-07,-4.4802E-09,2.3585E-09,1.22078E-07,-2.10358,1.107,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:50:11 AM,6,,,0,,104.662,255.99,DISCRETE,
CF-blank,-2.8528E-09,-4.45808E-09,1.21894E-07,1.21894E-07,-4.45808E-09,2.8528E-09,1.22009E-07,-2.09456,1.3398,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:51:36 AM,6,,,0,,103.264,254.59,DISCRETE,
CF-blank,-2.63845E-09,-4.35751E-09,1.21951E-07,1.21951E-07,-4.35751E-09,2.63845E-09,1.22057E-07,-2.04641,1.23863,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:53:02 AM,6,,,0,,101.865,252.93,DISCRETE,
CF-blank,-2.881E-09,-4.39035E-09,1.22014E-07,1.22014E-07,-4.39035E-09,2.881E-09,1.22127E-07,-2.06075,1.35174,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:54:22 AM,6,,,0,,100.55,251.47,DISCRETE,
CF-blank,-2.68629E-09,-4.4397E-09,1.22108E-07,1.22108E-07,-4.4397E-09,2.68629E-09,1.22219E-07,-2.08228,1.25943,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:55:43 AM,6,,,0,,99.205,249.76,DISCRETE,
CF-blank,-3.1127E-09,-4.72358E-09,1.21931E-07,1.21931E-07,-4.72358E-09,3.1127E-09,1.22062E-07,-2.21852,1.46125,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:56:58 AM,6,,,0,,97.981,248.33,DISCRETE,
CF-blank,-2.3176E-09,-4.49186E-09,1.22114E-07,1.22114E-07,-4.49186E-09,2.3176E-09,1.22219E-07,-2.10663,1.08655,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:58:13 AM,6,,,0,,96.753,246.71,DISCRETE,
CF-blank,-2.30216E-09,-4.4242E-09,1.22158E-07,1.22158E-07,-4.4242E-09,2.30216E-09,1.22259E-07,-2.07418,1.07895,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,11:59:24 AM,6,,,0,,95.597,245.24,DISCRETE,
CF-blank,-2.49631E-09,-4.5782E-09,1.22103E-07,1.22103E-07,-4.5782E-09,2.49631E-09,1.22214E-07,-2.14728,1.17039,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:00:39 PM,6,,,0,,94.384,243.69,DISCRETE,
CF-blank,-2.70325E-09,-4.6153E-09,1.22103E-07,1.22103E-07,-4.6153E-09,2.70325E-09,1.2222E-07,-2.16466,1.26737,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:01:39 PM,6,,,0,,93.435,242.2,DISCRETE,
CF-blank,-2.66283E-09,-4.42434E-09,1.22066E-07,1.22066E-07,-4.42434E-09,2.66283E-09,1.22175E-07,-2.0758,1.24887,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:02:49 PM,6,,,0,,92.293,240.69,DISCRETE,
CF-blank,-2.444E-09,-4.38313E-09,1.22249E-07,1.22249E-07,-4.38313E-09,2.444E-09,1.22352E-07,-2.05341,1.14456,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:03:49 PM,6,,,0,,91.339,239.15,DISCRETE,
CF-blank,-2.50027E-09,-4.68996E-09,1.22134E-07,1.22134E-07,-4.68996E-09,2.50027E-09,1.22249E-07,-2.19909,1.1719,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:05:00 PM,6,,,0,,90.239,237.53,DISCRETE,
CF-blank,-2.253E-09,-4.5737E-09,1.22223E-07,1.22223E-07,-4.5737E-09,2.253E-09,1.22329E-07,-2.14307,1.05531,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:05:55 PM,6,,,0,,89.382,236.02,DISCRETE,
CF-blank,-3.1929E-09,-4.61526E-09,1.22169E-07,1.22169E-07,-4.61526E-09,3.1929E-09,1.22298E-07,-2.16347,1.49602,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:07:00 PM,6,,,0,,88.35,234.47,DISCRETE,
CF-blank,-2.9864E-09,-4.53318E-09,1.22211E-07,1.22211E-07,-4.53318E-09,2.9864E-09,1.22332E-07,-2.1243,1.39886,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:08:01 PM,6,,,0,,87.383,232.75,DISCRETE,
CF-blank,-2.7593E-09,-4.43581E-09,1.22323E-07,1.22323E-07,-4.43581E-09,2.7593E-09,1.22434E-07,-2.07682,1.29139,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:09:06 PM,6,,,0,,86.394,231.11,DISCRETE,
CF-blank,-2.39945E-09,-4.48013E-09,1.22266E-07,1.22266E-07,-4.48013E-09,2.39945E-09,1.22372E-07,-2.09852,1.12352,,,,,,,,,,,,,,RM(Tmeas),5/20/2011,12:10:01 PM,6,,,0,,85.505,229.45,DISCRETE,
