cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1
199.4838,0,0.2461547,0.9762976,5/27/2011 2:29:48 PM,,115.6006,0,0.07736467,0.9743943,5/27/2011 3:48:41 PM
194.3495,0,0.2420286,0.9763957,5/27/2011 2:30:57 PM,,120.6176,0,0.07724851,0.9747361,5/27/2011 3:49:43 PM
189.3904,0,0.2380892,0.976293,5/27/2011 2:32:02 PM,,125.599,0,0.07843766,0.9753653,5/27/2011 3:50:42 PM
184.4258,0,0.2341496,0.9761243,5/27/2011 2:33:04 PM,,130.5579,0,0.08966924,0.9753236,5/27/2011 3:51:41 PM
179.3517,0,0.2297479,0.9761937,5/27/2011 2:34:07 PM,,135.7225,0,0.09210506,0.9753125,5/27/2011 3:52:43 PM
174.3802,0,0.2252532,0.9760988,5/27/2011 2:35:08 PM,,140.5806,0,0.0941155,0.975642,5/27/2011 3:53:41 PM
169.3597,0,0.220355,0.9759852,5/27/2011 2:36:10 PM,,145.5243,0,0.09610725,0.9754442,5/27/2011 3:54:40 PM
164.3627,0,0.2147645,0.9759082,5/27/2011 2:37:11 PM,,150.7538,0,0.0979389,0.9756055,5/27/2011 3:55:43 PM
159.4438,0,0.2084843,0.9759338,5/27/2011 2:38:11 PM,,155.5988,0,0.09940379,0.9756186,5/27/2011 3:56:41 PM
154.3156,0,0.2013982,0.975739,5/27/2011 2:39:12 PM,,160.5467,0,0.1008013,0.9757805,5/27/2011 3:57:40 PM
149.4773,0,0.1936096,0.9755727,5/27/2011 2:40:10 PM,,165.5939,0,0.1022069,0.9755244,5/27/2011 3:58:41 PM
144.3379,0,0.183953,0.9755316,5/27/2011 2:41:11 PM,,170.5172,0,0.1034912,0.9754752,5/27/2011 3:59:39 PM
139.4106,0,0.1728406,0.9754089,5/27/2011 2:42:10 PM,,175.4742,0,0.1046927,0.9757439,5/27/2011 4:00:38 PM
134.4028,0,0.159069,0.9749599,5/27/2011 2:43:09 PM,,180.6266,0,0.1060604,0.9753852,5/27/2011 4:01:40 PM
128.1134,0,0.1369499,0.9739234,5/27/2011 2:44:22 PM,,185.5855,0,0.1073668,0.9754604,5/27/2011 4:02:40 PM
124.3093,0,0.08671146,0.9737074,5/27/2011 2:45:07 PM,,190.5544,0,0.1086883,0.9756391,5/27/2011 4:03:40 PM
119.3051,0,0.07904215,0.9738053,5/27/2011 2:46:04 PM,,195.5652,0,0.1101826,0.9757444,5/27/2011 4:04:39 PM
114.2335,0,0.07859761,0.9735079,5/27/2011 2:47:03 PM,,200.5036,0,0.1118056,0.9756179,5/27/2011 4:05:38 PM
109.4359,0,0.07835678,0.9732731,5/27/2011 2:47:58 PM,,205.5607,0,0.1135563,0.975565,5/27/2011 4:06:40 PM
104.2854,0,0.07824341,0.9733654,5/27/2011 2:48:54 PM,,210.6389,0,0.1154888,0.9756636,5/27/2011 4:07:40 PM
99.41482,0,0.07823015,0.9732342,5/27/2011 2:49:49 PM,,215.5382,0,0.1177103,0.9754636,5/27/2011 4:08:38 PM
94.36516,0,0.07827097,0.9731553,5/27/2011 2:50:45 PM,,220.5405,0,0.1202691,0.9754583,5/27/2011 4:09:38 PM
89.28444,0,0.07831042,0.9732529,5/27/2011 2:51:39 PM,,225.6636,0,0.1233604,0.9755273,5/27/2011 4:10:39 PM
84.35405,0,0.07835786,0.9735096,5/27/2011 2:52:31 PM,,230.5611,0,0.1270027,0.9753501,5/27/2011 4:11:38 PM
79.28001,0,0.07844357,0.9735073,5/27/2011 2:53:22 PM,,235.49,0,0.1316426,0.9753525,5/27/2011 4:12:38 PM
74.33513,0,0.07855626,0.9734458,5/27/2011 2:54:12 PM,,240.565,0,0.1375051,0.975237,5/27/2011 4:13:40 PM
69.22282,0,0.07865754,0.9732986,5/27/2011 2:55:03 PM,,245.5917,0,0.1454986,0.9751005,5/27/2011 4:14:39 PM
64.18986,0,0.07874207,0.9733323,5/27/2011 2:55:50 PM,,250.4521,0,0.1574975,0.9746051,5/27/2011 4:15:38 PM
59.31224,0,0.0788081,0.9735281,5/27/2011 2:56:36 PM,,255.6775,0,0.1813636,0.9750474,5/27/2011 4:16:40 PM
54.10583,0,0.07887475,0.9734956,5/27/2011 2:57:23 PM,,260.4939,0,0.2431176,0.9743391,5/27/2011 4:17:38 PM
49.22582,0,0.07898024,0.9736142,5/27/2011 2:58:09 PM,,265.5371,0,0.3218089,0.9739287,5/27/2011 4:18:38 PM
44.29417,0,0.07903569,0.9735519,5/27/2011 2:58:51 PM,,270.7282,0,0.3488887,0.9740244,5/27/2011 4:19:40 PM
39.14049,0,0.07908879,0.973539,5/27/2011 2:59:35 PM,,275.6057,0,0.360813,0.9740599,5/27/2011 4:20:38 PM
34.21348,0,0.07914791,0.9737879,5/27/2011 3:00:19 PM,,280.5697,0,0.3688678,0.9737169,5/27/2011 4:21:37 PM
29.24331,0,0.07915907,0.9738485,5/27/2011 3:01:05 PM,,285.5552,0,0.3744077,0.974117,5/27/2011 4:22:38 PM
24.16377,0,0.07916645,0.9738719,5/27/2011 3:01:55 PM,,290.4652,0,0.3782419,0.9743551,5/27/2011 4:23:37 PM
19.34626,0,0.07916178,0.974,5/27/2011 3:02:53 PM,,295.5976,0,0.3814051,0.9741702,5/27/2011 4:24:38 PM
14.9968,0,0.07921178,0.9748414,5/27/2011 3:27:09 PM,,300.0302,0,0.3846991,0.9744517,5/27/2011 4:30:10 PM
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
