cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1,cf-naco-1
NRM LTD,NRM LTD,NRM LTD,NRM LTD,NRM LTD,,NRM rewarming,NRM rewarming,NRM rewarming,NRM rewarming,NRM rewarming
,,,,,,,,,,
T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
,,,,,,,,,,
300.0231,0,0.7443672,0.9744883,5/27/2011 2:06:42 PM,,14.99718,0,0.07922239,0.9746581,5/27/2011 3:28:22 PM
294.4838,0,0.7443376,0.9745249,5/27/2011 2:10:08 PM,,20.55822,0,0.07923951,0.9747137,5/27/2011 3:29:41 PM
289.3426,0,0.7422345,0.9744902,5/27/2011 2:11:13 PM,,25.55299,0,0.07924347,0.9745575,5/27/2011 3:30:42 PM
284.1801,0,0.7391803,0.974057,5/27/2011 2:12:05 PM,,30.67751,0,0.079225,0.9744818,5/27/2011 3:31:44 PM
279.1689,0,0.7346931,0.9738653,5/27/2011 2:12:56 PM,,35.5824,0,0.07922566,0.9744556,5/27/2011 3:32:44 PM
274.126,0,0.7269148,0.9737569,5/27/2011 2:13:46 PM,,40.5769,0,0.079187,0.9744982,5/27/2011 3:33:44 PM
269.2599,0,0.7155529,0.9735882,5/27/2011 2:14:36 PM,,45.56471,0,0.07912295,0.9743558,5/27/2011 3:34:44 PM
264.3227,0,0.6936308,0.9731021,5/27/2011 2:15:29 PM,,50.5444,0,0.07904059,0.9745548,5/27/2011 3:35:44 PM
259.3171,0,0.5894445,0.9717907,5/27/2011 2:16:26 PM,,55.60752,0,0.07895218,0.9746243,5/27/2011 3:36:46 PM
254.3127,0,0.4159641,0.9734004,5/27/2011 2:17:28 PM,,60.58102,0,0.07885774,0.9743792,5/27/2011 3:37:45 PM
249.322,0,0.349237,0.974584,5/27/2011 2:18:35 PM,,65.5669,0,0.07876106,0.9744275,5/27/2011 3:38:45 PM
244.4767,0,0.3203303,0.9754013,5/27/2011 2:19:41 PM,,70.47032,0,0.07863849,0.9743885,5/27/2011 3:39:43 PM
239.3625,0,0.3019345,0.9758641,5/27/2011 2:20:52 PM,,75.63727,0,0.07847708,0.9746287,5/27/2011 3:40:45 PM
233.3376,0,0.2897385,0.9760246,5/27/2011 2:22:14 PM,,80.4959,0,0.07831748,0.9747407,5/27/2011 3:41:43 PM
229.3805,0,0.2793686,0.9760243,5/27/2011 2:23:09 PM,,85.50475,0,0.07816199,0.9745986,5/27/2011 3:42:43 PM
224.3716,0,0.2712457,0.976365,5/27/2011 2:24:17 PM,,90.68188,0,0.07803727,0.9744585,5/27/2011 3:43:45 PM
219.4604,0,0.2650656,0.9760845,5/27/2011 2:25:20 PM,,95.52875,0,0.07788822,0.974338,5/27/2011 3:44:42 PM
214.3529,0,0.2594301,0.9762776,5/27/2011 2:26:27 PM,,100.5659,0,0.07771205,0.9745079,5/27/2011 3:45:42 PM
209.4252,0,0.2545333,0.9764221,5/27/2011 2:27:31 PM,,105.6227,0,0.07756241,0.9746036,5/27/2011 3:46:43 PM
204.5045,0,0.2502176,0.9762422,5/27/2011 2:28:39 PM,,110.5585,0,0.07746191,0.9744762,5/27/2011 3:47:42 PM
