specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,263,5.79E-08,1.11E-06,-2.68E-06,2.90E-06,87,-67.5,-2.68E-06,1.11E-06,-5.79E-08,-202.423,-1.14227,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:35:51 AM,2,,,0,,,263
Ikon_magnetite_<100>_02,258,6.21E-08,1.11E-06,-2.67E-06,2.89E-06,86.8,-67.4,-2.67E-06,1.11E-06,-6.21E-08,-202.541,-1.23103,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:40:34 AM,2,,,0,,,258
Ikon_magnetite_<100>_02,253,6.20E-08,1.11E-06,-2.66E-06,2.88E-06,86.8,-67.4,-2.66E-06,1.11E-06,-6.20E-08,-202.572,-1.2335,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:44:51 AM,2,,,0,,,253
Ikon_magnetite_<100>_02,248,5.88E-08,1.10E-06,-2.65E-06,2.87E-06,86.9,-67.4,-2.65E-06,1.10E-06,-5.88E-08,-202.55,-1.17281,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:48:48 AM,2,,,0,,,248
Ikon_magnetite_<100>_02,243,6.12E-08,1.08E-06,-2.64E-06,2.85E-06,86.8,-67.7,-2.64E-06,1.08E-06,-6.12E-08,-202.318,-1.23018,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:52:29 AM,2,,,0,,,243
Ikon_magnetite_<100>_02,238,5.24E-08,1.07E-06,-2.63E-06,2.84E-06,87.2,-67.8,-2.63E-06,1.07E-06,-5.24E-08,-202.219,-1.05838,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:55:47 AM,2,,,0,,,238
Ikon_magnetite_<100>_02,233,3.12E-08,1.06E-06,-2.61E-06,2.82E-06,88.3,-67.9,-2.61E-06,1.06E-06,-3.12E-08,-202.113,-0.634698,,,,,,,,,,,,,,RM(Tmeas),4/23/10,11:58:55 AM,2,,,0,,,233
Ikon_magnetite_<100>_02,228,8.36E-09,1.03E-06,-2.58E-06,2.78E-06,89.5,-68.2,-2.58E-06,1.03E-06,-8.36E-09,-201.785,-0.172543,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:02:03 PM,2,,,0,,,228
Ikon_magnetite_<100>_02,223,-1.17E-08,1.02E-06,-2.56E-06,2.75E-06,90.7,-68.3,-2.56E-06,1.02E-06,1.17E-08,-201.699,0.242499,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:04:10 PM,2,,,0,,,223
Ikon_magnetite_<100>_02,218,-2.85E-08,1.01E-06,-2.52E-06,2.72E-06,91.6,-68.1,-2.52E-06,1.01E-06,2.85E-08,-201.907,0.602144,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:07:05 PM,2,,,0,,,218
Ikon_magnetite_<100>_02,213,-3.97E-08,9.89E-07,-2.49E-06,2.68E-06,92.3,-68.3,-2.49E-06,9.89E-07,3.97E-08,-201.687,0.849584,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:09:27 PM,2,,,0,,,213
Ikon_magnetite_<100>_02,208,-7.62E-08,9.68E-07,-2.44E-06,2.63E-06,94.5,-68.3,-2.44E-06,9.68E-07,7.62E-08,-201.63,1.66183,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:11:43 PM,2,,,0,,,208
Ikon_magnetite_<100>_02,203,-5.02E-08,9.73E-07,-2.40E-06,2.59E-06,93,-67.9,-2.40E-06,9.73E-07,5.02E-08,-202.079,1.11148,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:13:48 PM,2,,,0,,,203
Ikon_magnetite_<100>_02,198,-1.45E-08,9.85E-07,-2.36E-06,2.55E-06,90.8,-67.3,-2.36E-06,9.85E-07,1.45E-08,-202.686,0.325173,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:15:56 PM,2,,,0,,,198
Ikon_magnetite_<100>_02,193,-1.40E-08,9.93E-07,-2.32E-06,2.53E-06,90.8,-66.9,-2.32E-06,9.93E-07,1.40E-08,-203.147,0.317638,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:17:38 PM,2,,,0,,,193
Ikon_magnetite_<100>_02,188,1.13E-09,9.78E-07,-2.27E-06,2.47E-06,89.9,-66.7,-2.27E-06,9.78E-07,-1.13E-09,-203.309,-0.0262915,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:19:28 PM,2,,,0,,,188
Ikon_magnetite_<100>_02,183,8.60E-09,9.66E-07,-2.25E-06,2.45E-06,89.5,-66.7,-2.25E-06,9.66E-07,-8.60E-09,-203.273,-0.201551,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:21:03 PM,2,,,0,,,183
Ikon_magnetite_<100>_02,178,1.11E-08,9.52E-07,-2.22E-06,2.41E-06,89.3,-66.8,-2.22E-06,9.52E-07,-1.11E-08,-203.247,-0.264669,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:22:41 PM,2,,,0,,,178
Ikon_magnetite_<100>_02,173,1.56E-08,9.44E-07,-2.15E-06,2.35E-06,89.1,-66.3,-2.15E-06,9.44E-07,-1.56E-08,-203.665,-0.380133,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:24:06 PM,2,,,0,,,173
Ikon_magnetite_<100>_02,168,2.44E-08,9.22E-07,-2.08E-06,2.28E-06,88.5,-66.1,-2.08E-06,9.22E-07,-2.44E-08,-203.867,-0.614125,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:25:33 PM,2,,,0,,,168
Ikon_magnetite_<100>_02,163,2.44E-08,8.94E-07,-1.99E-06,2.18E-06,88.4,-65.8,-1.99E-06,8.94E-07,-2.44E-08,-204.214,-0.640666,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:26:57 PM,2,,,0,,,163
Ikon_magnetite_<100>_02,158,3.37E-08,8.67E-07,-1.90E-06,2.09E-06,87.8,-65.4,-1.90E-06,8.67E-07,-3.37E-08,-204.535,-0.924236,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:28:14 PM,2,,,0,,,158
Ikon_magnetite_<100>_02,153,3.33E-08,8.35E-07,-1.79E-06,1.98E-06,87.7,-65,-1.79E-06,8.35E-07,-3.33E-08,-205.007,-0.964097,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:29:23 PM,2,,,0,,,153
Ikon_magnetite_<100>_02,148,3.73E-08,7.95E-07,-1.65E-06,1.83E-06,87.3,-64.2,-1.65E-06,7.95E-07,-3.73E-08,-205.728,-1.16517,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:30:31 PM,2,,,0,,,148
Ikon_magnetite_<100>_02,143,4.37E-08,7.51E-07,-1.50E-06,1.67E-06,86.7,-63.3,-1.50E-06,7.51E-07,-4.37E-08,-206.662,-1.49422,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:31:37 PM,2,,,0,,,143
Ikon_magnetite_<100>_02,141,4.70E-08,7.33E-07,-1.45E-06,1.63E-06,86.3,-63.2,-1.45E-06,7.33E-07,-4.70E-08,-206.796,-1.65457,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:32:03 PM,2,,,0,,,141
Ikon_magnetite_<100>_02,139,4.28E-08,7.11E-07,-1.38E-06,1.56E-06,86.6,-62.8,-1.38E-06,7.11E-07,-4.28E-08,-207.204,-1.57471,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:32:26 PM,2,,,0,,,139
Ikon_magnetite_<100>_02,137,4.11E-08,6.88E-07,-1.30E-06,1.47E-06,86.6,-62.1,-1.30E-06,6.88E-07,-4.11E-08,-207.881,-1.60154,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:32:50 PM,2,,,0,,,137
Ikon_magnetite_<100>_02,135,3.72E-08,6.61E-07,-1.21E-06,1.38E-06,86.8,-61.4,-1.21E-06,6.61E-07,-3.72E-08,-208.542,-1.54013,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:33:13 PM,2,,,0,,,135
Ikon_magnetite_<100>_02,133,3.18E-08,6.28E-07,-1.12E-06,1.29E-06,87.1,-60.8,-1.12E-06,6.28E-07,-3.18E-08,-209.176,-1.412,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:33:37 PM,2,,,0,,,133
Ikon_magnetite_<100>_02,131,2.81E-08,6.03E-07,-1.02E-06,1.19E-06,87.3,-59.4,-1.02E-06,6.03E-07,-2.81E-08,-210.562,-1.35425,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:34:00 PM,2,,,0,,,131
Ikon_magnetite_<100>_02,129,3.31E-08,5.79E-07,-9.17E-07,1.09E-06,86.7,-57.7,-9.17E-07,5.79E-07,-3.31E-08,-212.29,-1.74714,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:34:23 PM,2,,,0,,,129
Ikon_magnetite_<100>_02,127,4.33E-08,5.50E-07,-7.98E-07,9.70E-07,85.5,-55.4,-7.98E-07,5.50E-07,-4.33E-08,-214.546,-2.55768,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:34:45 PM,2,,,0,,,127
Ikon_magnetite_<100>_02,125,4.07E-08,5.07E-07,-6.70E-07,8.41E-07,85.4,-52.8,-6.70E-07,5.07E-07,-4.07E-08,-217.145,-2.77579,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:35:08 PM,2,,,0,,,125
Ikon_magnetite_<100>_02,123,5.24E-08,4.61E-07,-5.32E-07,7.06E-07,83.5,-48.9,-5.32E-07,4.61E-07,-5.24E-08,-220.899,-4.25379,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:35:31 PM,2,,,0,,,123
Ikon_magnetite_<100>_02,121,6.37E-08,4.23E-07,-4.05E-07,5.89E-07,81.4,-43.4,-4.05E-07,4.23E-07,-6.37E-08,-226.268,-6.2063,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:35:54 PM,2,,,0,,,121
Ikon_magnetite_<100>_02,119,6.01E-08,3.80E-07,-3.30E-07,5.07E-07,81,-40.6,-3.30E-07,3.80E-07,-6.01E-08,-229.038,-6.80029,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:36:14 PM,2,,,0,,,119
Ikon_magnetite_<100>_02,117,3.37E-08,3.65E-07,-2.55E-07,4.46E-07,84.7,-34.8,-2.55E-07,3.65E-07,-3.37E-08,-235.098,-4.3244,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:36:34 PM,2,,,0,,,117
Ikon_magnetite_<100>_02,115,4.54E-08,6.78E-07,-4.63E-07,8.22E-07,86.2,-34.2,-4.63E-07,6.78E-07,-4.54E-08,-235.711,-3.16774,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:36:54 PM,2,,,0,,,115
Ikon_magnetite_<100>_02,113,-2.09E-07,1.09E-06,-1.60E-06,1.94E-06,100.8,-55.2,-1.60E-06,1.09E-06,2.09E-07,-214.363,6.17219,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:37:18 PM,2,,,0,,,113
Ikon_magnetite_<100>_02,111,-2.08E-07,1.09E-06,-1.57E-06,1.92E-06,100.8,-54.6,-1.57E-06,1.09E-06,2.08E-07,-214.885,6.21496,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:37:44 PM,2,,,0,,,111
Ikon_magnetite_<100>_02,109,-2.04E-07,1.08E-06,-1.62E-06,1.96E-06,100.7,-55.8,-1.62E-06,1.08E-06,2.04E-07,-213.718,5.99211,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:38:03 PM,2,,,0,,,109
Ikon_magnetite_<100>_02,107,-2.04E-07,1.08E-06,-1.55E-06,1.90E-06,100.7,-54.7,-1.55E-06,1.08E-06,2.04E-07,-214.836,6.14032,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:38:22 PM,2,,,0,,,107
Ikon_magnetite_<100>_02,105,-2.04E-07,1.08E-06,-1.55E-06,1.90E-06,100.7,-54.7,-1.55E-06,1.08E-06,2.04E-07,-214.847,6.16456,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:38:43 PM,2,,,0,,,105
Ikon_magnetite_<100>_02,103,-2.04E-07,1.08E-06,-1.54E-06,1.89E-06,100.7,-54.6,-1.54E-06,1.08E-06,2.04E-07,-214.949,6.20386,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:39:03 PM,2,,,0,,,103
Ikon_magnetite_<100>_02,101,-2.03E-07,1.07E-06,-1.53E-06,1.88E-06,100.7,-54.6,-1.53E-06,1.07E-06,2.03E-07,-214.968,6.18396,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:39:22 PM,2,,,0,,,101
Ikon_magnetite_<100>_02,99,-2.03E-07,1.07E-06,-1.53E-06,1.88E-06,100.7,-54.5,-1.53E-06,1.07E-06,2.03E-07,-215.013,6.20013,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:39:44 PM,2,,,0,,,99
Ikon_magnetite_<100>_02,97,-2.01E-07,1.07E-06,-1.52E-06,1.87E-06,100.6,-54.5,-1.52E-06,1.07E-06,2.01E-07,-215.057,6.15741,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:40:08 PM,2,,,0,,,97
Ikon_magnetite_<100>_02,95,-2.00E-07,1.07E-06,-1.52E-06,1.87E-06,100.6,-54.5,-1.52E-06,1.07E-06,2.00E-07,-215.07,6.14544,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:40:30 PM,2,,,0,,,95
