specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,Mx-bcorr,My-bcorr,Mz-bcorr,Mt-bcorr,Dec-bcorr,Inc-bcorr,MN [Am2],ME [Am2],MV [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,23,-1.81E-07,1.04E-06,-1.54E-06,1.87E-06,99.8,-55.5,-1.58E-07,1.07E-06,-2.00E-06,2.27E-06,98.4,-61.6,-1.54E-06,1.04E-06,1.81E-07,-214.13,5.54408,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:58:21 PM,2,,,0,,,23
Ikon_magnetite_<100>_02,28,-1.78E-07,1.05E-06,-1.57E-06,1.89E-06,99.6,-55.9,-1.53E-07,1.07E-06,-2.03E-06,2.31E-06,98.1,-62,-1.57E-06,1.05E-06,1.78E-07,-213.732,5.38143,,,,,,,,,,,,,,RM(Tmeas),4/23/10,12:59:54 PM,2,,,0,,,28
Ikon_magnetite_<100>_02,33,-1.81E-07,1.05E-06,-1.54E-06,1.87E-06,99.8,-55.5,-1.56E-07,1.07E-06,-2.02E-06,2.29E-06,98.3,-61.8,-1.54E-06,1.05E-06,1.81E-07,-214.095,5.54199,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:02:42 PM,2,,,0,,,33
Ikon_magnetite_<100>_02,46,-1.82E-07,1.05E-06,-1.55E-06,1.87E-06,99.9,-55.5,-1.53E-07,1.07E-06,-2.04E-06,2.31E-06,98.1,-62,-1.55E-06,1.05E-06,1.82E-07,-214.061,5.56455,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:07:53 PM,2,,,0,,,46
Ikon_magnetite_<100>_02,58,-1.84E-07,1.04E-06,-1.52E-06,1.85E-06,100,-55.1,-1.52E-07,1.07E-06,-2.03E-06,2.30E-06,98.1,-62,-1.52E-06,1.04E-06,1.84E-07,-214.487,5.70669,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:09:13 PM,2,,,0,,,58
Ikon_magnetite_<100>_02,64,-1.85E-07,1.04E-06,-1.51E-06,1.85E-06,100,-54.9,-1.52E-07,1.07E-06,-2.03E-06,2.30E-06,98,-61.9,-1.51E-06,1.04E-06,1.85E-07,-214.664,5.74848,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:10:30 PM,2,,,0,,,64
Ikon_magnetite_<100>_02,68,-1.88E-07,1.05E-06,-1.50E-06,1.84E-06,100.2,-54.6,-1.54E-07,1.08E-06,-2.03E-06,2.30E-06,98.1,-61.8,-1.50E-06,1.05E-06,1.88E-07,-214.965,5.86839,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:15:38 PM,2,,,0,,,68
Ikon_magnetite_<100>_02,73,-1.92E-07,1.07E-06,-1.48E-06,1.83E-06,100.2,-53.7,-1.56E-07,1.10E-06,-2.01E-06,2.30E-06,98.1,-61.2,-1.48E-06,1.07E-06,1.92E-07,-215.838,6.00496,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:16:53 PM,2,,,0,,,73
Ikon_magnetite_<100>_02,78,-1.91E-07,1.05E-06,-1.50E-06,1.84E-06,100.3,-54.5,-1.54E-07,1.08E-06,-2.04E-06,2.32E-06,98.1,-61.8,-1.50E-06,1.05E-06,1.91E-07,-215.104,5.96353,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:18:18 PM,2,,,0,,,78
Ikon_magnetite_<100>_02,84,-1.93E-07,1.06E-06,-1.49E-06,1.84E-06,100.4,-54.2,-1.55E-07,1.09E-06,-2.05E-06,2.32E-06,98.1,-61.7,-1.49E-06,1.06E-06,1.93E-07,-215.39,6.0391,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:19:49 PM,2,,,0,,,84
Ikon_magnetite_<100>_02,88,-1.94E-07,1.06E-06,-1.49E-06,1.84E-06,100.4,-54.1,-1.55E-07,1.09E-06,-2.05E-06,2.33E-06,98.1,-61.7,-1.49E-06,1.06E-06,1.94E-07,-215.444,6.06547,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:20:32 PM,2,,,0,,,88
Ikon_magnetite_<100>_02,93,-1.96E-07,1.06E-06,-1.48E-06,1.83E-06,100.4,-53.8,-1.55E-07,1.10E-06,-2.05E-06,2.33E-06,98.1,-61.6,-1.48E-06,1.06E-06,1.96E-07,-215.708,6.13525,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:21:30 PM,2,,,0,,,93
Ikon_magnetite_<100>_02,95,-1.95E-07,1.06E-06,-1.48E-06,1.83E-06,100.4,-53.9,-1.54E-07,1.10E-06,-0.000002053,2.33E-06,98,-61.7,-1.48E-06,1.06E-06,1.95E-07,-215.675,6.11264,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:21:56 PM,2,,,0,,,95
Ikon_magnetite_<100>_02,97,-1.96E-07,1.07E-06,-1.48E-06,1.83E-06,100.4,-53.8,-1.54E-07,1.10E-06,-2.05E-06,2.33E-06,98,-61.6,-1.48E-06,1.07E-06,1.96E-07,-215.782,6.13254,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:22:21 PM,2,,,0,,,97
Ikon_magnetite_<100>_02,99,-1.98E-07,1.06E-06,-1.47E-06,1.82E-06,100.5,-53.6,-1.56E-07,1.10E-06,-2.05E-06,2.33E-06,98.1,-61.6,-1.47E-06,1.06E-06,1.98E-07,-215.919,6.22109,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:22:54 PM,2,,,0,,,99
Ikon_magnetite_<100>_02,101,-1.98E-07,1.06E-06,-1.47E-06,1.82E-06,100.6,-53.6,-1.56E-07,1.10E-06,-2.05E-06,2.33E-06,98.1,-61.6,-1.47E-06,1.06E-06,1.98E-07,-215.955,6.24267,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:23:30 PM,2,,,0,,,101
Ikon_magnetite_<100>_02,103,-1.97E-07,1.07E-06,-1.46E-06,1.82E-06,100.5,-53.4,-1.54E-07,1.10E-06,-2.05E-06,2.33E-06,98,-61.4,-1.46E-06,1.07E-06,1.97E-07,-216.176,6.21822,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:23:56 PM,2,,,0,,,103
Ikon_magnetite_<100>_02,105,-1.97E-07,1.06E-06,-1.46E-06,1.82E-06,100.5,-53.5,-1.54E-07,1.10E-06,-2.05E-06,2.33E-06,98,-61.6,-1.46E-06,1.06E-06,1.97E-07,-216.069,6.22645,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:24:23 PM,2,,,0,,,105
Ikon_magnetite_<100>_02,107,-1.96E-07,1.06E-06,-1.46E-06,1.81E-06,100.4,-53.4,-1.52E-07,1.10E-06,-2.05E-06,2.33E-06,97.9,-61.6,-1.46E-06,1.06E-06,1.96E-07,-216.138,6.20396,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:24:58 PM,2,,,0,,,107
Ikon_magnetite_<100>_02,109,-1.95E-07,1.06E-06,-1.44E-06,1.80E-06,100.4,-53.2,-1.51E-07,1.09E-06,-2.04E-06,2.32E-06,97.8,-61.5,-1.44E-06,1.06E-06,1.95E-07,-216.344,6.22099,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:25:35 PM,2,,,0,,,109
Ikon_magnetite_<100>_02,111,-1.94E-07,1.06E-06,-1.43E-06,1.79E-06,100.4,-53.2,-1.49E-07,1.09E-06,-2.03E-06,2.31E-06,97.8,-61.5,-1.43E-06,1.06E-06,1.94E-07,-216.377,6.20953,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:26:13 PM,2,,,0,,,111
Ikon_magnetite_<100>_02,113,-1.90E-07,1.05E-06,-1.42E-06,1.77E-06,100.2,-52.9,-1.45E-07,1.09E-06,-2.02E-06,2.30E-06,97.6,-61.5,-1.42E-06,1.05E-06,1.90E-07,-216.617,6.15555,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:26:51 PM,2,,,0,,,113
Ikon_magnetite_<100>_02,115,7.94E-09,6.51E-07,-3.39E-07,7.34E-07,89.3,-27.5,5.39E-08,6.86E-07,-9.43E-07,1.17E-06,85.5,-53.9,-3.39E-07,6.51E-07,-7.94E-09,-242.456,-0.619938,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:27:33 PM,2,,,0,,,115
Ikon_magnetite_<100>_02,117,5.29E-08,3.34E-07,-1.00E-07,3.53E-07,81,-16.4,9.93E-08,3.70E-07,-7.07E-07,8.04E-07,75,-61.5,-1.00E-07,3.34E-07,-5.29E-08,-253.36,-8.61452,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:28:13 PM,2,,,0,,,117
Ikon_magnetite_<100>_02,119,5.04E-08,3.53E-07,-1.56E-07,3.89E-07,81.9,-23.7,9.73E-08,3.89E-07,-7.66E-07,8.65E-07,75.9,-62.4,-1.56E-07,3.53E-07,-5.04E-08,-246.094,-7.43778,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:28:56 PM,2,,,0,,,119
Ikon_magnetite_<100>_02,121,5.03E-08,3.87E-07,-2.19E-07,4.47E-07,82.6,-29.3,9.77E-08,4.23E-07,-8.32E-07,9.39E-07,77,-62.4,-2.19E-07,3.87E-07,-5.03E-08,-240.48,-6.45391,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:29:43 PM,2,,,0,,,121
Ikon_magnetite_<100>_02,123,4.69E-08,4.08E-07,-2.99E-07,5.08E-07,83.4,-36.1,9.48E-08,4.44E-07,-9.16E-07,1.02E-06,78,-63.6,-2.99E-07,4.08E-07,-4.69E-08,-233.722,-5.29452,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:30:34 PM,2,,,0,,,123
Ikon_magnetite_<100>_02,125,3.43E-08,4.29E-07,-3.73E-07,5.70E-07,85.4,-40.9,8.27E-08,4.66E-07,-9.92E-07,1.10E-06,79.9,-64.5,-3.73E-07,4.29E-07,-3.43E-08,-229.033,-3.44745,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:31:21 PM,2,,,0,,,125
Ikon_magnetite_<100>_02,127,3.69E-08,4.42E-07,-4.06E-07,6.01E-07,85.2,-42.5,8.58E-08,4.79E-07,-1.03E-06,1.14E-06,79.8,-64.7,-4.06E-07,4.42E-07,-3.69E-08,-227.41,-3.51752,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:32:12 PM,2,,,0,,,127
Ikon_magnetite_<100>_02,129,1.88E-08,4.61E-07,-4.59E-07,6.51E-07,87.7,-44.8,6.83E-08,4.98E-07,-1.08E-06,1.20E-06,82.2,-65.1,-4.59E-07,4.61E-07,-1.88E-08,-225.161,-1.65817,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:33:04 PM,2,,,0,,,129
Ikon_magnetite_<100>_02,131,1.53E-08,4.68E-07,-4.91E-07,6.78E-07,88.1,-46.4,6.52E-08,5.05E-07,-1.12E-06,1.23E-06,82.6,-65.5,-4.91E-07,4.68E-07,-1.53E-08,-223.608,-1.2948,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:33:52 PM,2,,,0,,,131
Ikon_magnetite_<100>_02,133,1.72E-08,4.77E-07,-5.23E-07,7.08E-07,87.9,-47.6,6.77E-08,5.14E-07,-1.16E-06,1.27E-06,82.5,-65.8,-5.23E-07,4.77E-07,-1.72E-08,-222.356,-1.39625,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:34:45 PM,2,,,0,,,133
Ikon_magnetite_<100>_02,135,1.52E-08,4.87E-07,-5.63E-07,7.44E-07,88.2,-49.1,6.61E-08,5.25E-07,-1.20E-06,1.31E-06,82.8,-66.2,-5.63E-07,4.87E-07,-1.52E-08,-220.87,-1.16672,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:35:43 PM,2,,,0,,,135
Ikon_magnetite_<100>_02,137,1.68E-08,4.90E-07,-5.79E-07,7.59E-07,88,-49.8,6.82E-08,5.28E-07,-1.22E-06,1.33E-06,82.6,-66.4,-5.79E-07,4.90E-07,-1.68E-08,-220.225,-1.27029,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:36:33 PM,2,,,0,,,137
Ikon_magnetite_<100>_02,139,1.59E-08,5.00E-07,-6.09E-07,7.89E-07,88.2,-50.6,6.78E-08,5.39E-07,-1.25E-06,1.36E-06,82.8,-66.5,-6.09E-07,5.00E-07,-1.59E-08,-219.395,-1.15386,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:37:34 PM,2,,,0,,,139
Ikon_magnetite_<100>_02,141,1.48E-08,5.11E-07,-6.37E-07,8.17E-07,88.3,-51.3,6.72E-08,5.50E-07,-1.28E-06,1.40E-06,83,-66.6,-6.37E-07,5.11E-07,-1.48E-08,-218.731,-1.041,,,,,,,,,,,,,,RM(Tmeas),4/23/10,1:38:35 PM,2,,,0,,,141
