specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,263,1.05E-06,3.44E-06,2.03E-06,4.13E-06,73,29.4,2.03E-06,3.44E-06,-1.05E-06,4.13E-06,59.4768,-14.7603,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:21:06 PM,1,,,0,,,263
Ikon_magnetite_<100>_02,253,1.02E-06,3.39E-06,2.04E-06,4.08E-06,73.3,29.9,2.04E-06,3.39E-06,-1.02E-06,4.08E-06,58.9743,-14.4158,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:30:01 PM,1,,,0,,,253
Ikon_magnetite_<100>_02,243,1.01E-06,3.40E-06,2.02E-06,4.09E-06,73.5,29.6,2.02E-06,3.40E-06,-1.01E-06,4.09E-06,59.3148,-14.3094,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:37:35 PM,1,,,0,,,243
Ikon_magnetite_<100>_02,233,9.88E-07,3.39E-06,2.01E-06,4.06E-06,73.7,29.7,2.01E-06,3.39E-06,-9.88E-07,4.06E-06,59.3236,-14.0925,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:43:44 PM,1,,,0,,,233
Ikon_magnetite_<100>_02,223,9.81E-07,3.33E-06,2.00E-06,4.00E-06,73.6,29.9,2.00E-06,3.33E-06,-9.81E-07,4.00E-06,59.0812,-14.1792,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:49:19 PM,1,,,0,,,223
Ikon_magnetite_<100>_02,211,9.36E-07,3.25E-06,1.98E-06,3.92E-06,73.9,30.3,1.98E-06,3.25E-06,-9.36E-07,3.92E-06,58.7439,-13.8198,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:55:48 PM,1,,,0,,,211
Ikon_magnetite_<100>_02,202,9.15E-07,3.16E-06,2.00E-06,3.85E-06,73.8,31.3,2.00E-06,3.16E-06,-9.15E-07,3.85E-06,57.6756,-13.7664,,,,,,,,,,,,,,RM(Tmeas),4/22/10,1:59:33 PM,1,,,0,,,202
Ikon_magnetite_<100>_02,193,9.08E-07,3.07E-06,1.96E-06,3.75E-06,73.5,31.4,1.96E-06,3.07E-06,-9.08E-07,3.75E-06,57.5229,-13.9982,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:02:57 PM,1,,,0,,,193
Ikon_magnetite_<100>_02,188,8.92E-07,3.04E-06,1.99E-06,3.74E-06,73.7,32.1,1.99E-06,3.04E-06,-8.92E-07,3.74E-06,56.8556,-13.7873,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:04:38 PM,1,,,0,,,188
Ikon_magnetite_<100>_02,183,8.80E-07,3.00E-06,1.89E-06,3.66E-06,73.7,31.2,1.89E-06,3.00E-06,-8.80E-07,3.66E-06,57.7927,-13.9188,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:06:18 PM,1,,,0,,,183
Ikon_magnetite_<100>_02,178,8.67E-07,2.95E-06,1.87E-06,3.60E-06,73.6,31.3,1.87E-06,2.95E-06,-8.67E-07,3.60E-06,57.6018,-13.9383,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:08:01 PM,1,,,0,,,178
Ikon_magnetite_<100>_02,173,8.41E-07,2.90E-06,1.85E-06,3.54E-06,73.8,31.5,1.85E-06,2.90E-06,-8.41E-07,3.54E-06,57.4805,-13.7616,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:09:28 PM,1,,,0,,,173
Ikon_magnetite_<100>_02,168,8.20E-07,2.83E-06,1.81E-06,3.46E-06,73.9,31.5,1.81E-06,2.83E-06,-8.20E-07,3.46E-06,57.4545,-13.7055,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:10:53 PM,1,,,0,,,168
Ikon_magnetite_<100>_02,163,7.93E-07,2.75E-06,1.76E-06,3.37E-06,73.9,31.6,1.76E-06,2.75E-06,-7.93E-07,3.37E-06,57.3979,-13.6299,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:12:14 PM,1,,,0,,,163
Ikon_magnetite_<100>_02,158,7.68E-07,2.67E-06,1.72E-06,3.27E-06,73.9,31.8,1.72E-06,2.67E-06,-7.68E-07,3.27E-06,57.1354,-13.5906,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:13:30 PM,1,,,0,,,158
Ikon_magnetite_<100>_02,153,7.46E-07,2.56E-06,1.68E-06,3.15E-06,73.8,32.3,1.68E-06,2.56E-06,-7.46E-07,3.15E-06,56.6636,-13.6746,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:14:42 PM,1,,,0,,,153
Ikon_magnetite_<100>_02,148,7.09E-07,2.44E-06,1.63E-06,3.02E-06,73.8,32.7,1.63E-06,2.44E-06,-7.09E-07,3.02E-06,56.2275,-13.5557,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:15:52 PM,1,,,0,,,148
Ikon_magnetite_<100>_02,143,6.61E-07,2.29E-06,1.57E-06,2.85E-06,73.9,33.5,1.57E-06,2.29E-06,-6.61E-07,2.85E-06,55.4809,-13.3926,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:16:59 PM,1,,,0,,,143
Ikon_magnetite_<100>_02,138,5.96E-07,2.08E-06,1.49E-06,2.63E-06,74,34.7,1.49E-06,2.08E-06,-5.96E-07,2.63E-06,54.272,-13.1218,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:18:07 PM,1,,,0,,,138
Ikon_magnetite_<100>_02,133,5.33E-07,1.87E-06,1.40E-06,2.40E-06,74.1,35.7,1.40E-06,1.87E-06,-5.33E-07,2.40E-06,53.2348,-12.8458,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:19:02 PM,1,,,0,,,133
Ikon_magnetite_<100>_02,128,4.36E-07,1.59E-06,1.29E-06,2.10E-06,74.7,38.1,1.29E-06,1.59E-06,-4.36E-07,2.10E-06,50.8765,-12.0048,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:20:00 PM,1,,,0,,,128
Ikon_magnetite_<100>_02,123,3.32E-07,1.29E-06,1.17E-06,1.77E-06,75.5,41.4,1.17E-06,1.29E-06,-3.32E-07,1.77E-06,47.6824,-10.8006,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:21:02 PM,1,,,0,,,123
Ikon_magnetite_<100>_02,118,2.84E-07,1.05E-06,1.08E-06,1.53E-06,74.8,44.7,1.08E-06,1.05E-06,-2.84E-07,1.53E-06,44.2476,-10.7039,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:21:52 PM,1,,,0,,,118
Ikon_magnetite_<100>_02,113,4.98E-07,1.72E-06,1.39E-06,2.27E-06,73.9,37.8,1.39E-06,1.72E-06,-4.98E-07,2.27E-06,51.0327,-12.673,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:22:44 PM,1,,,0,,,113
Ikon_magnetite_<100>_02,108,4.41E-07,1.81E-06,1.47E-06,2.37E-06,76.3,38.3,1.47E-06,1.81E-06,-4.41E-07,2.37E-06,50.877,-10.698,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:23:38 PM,1,,,0,,,108
Ikon_magnetite_<100>_02,103,4.31E-07,1.79E-06,1.45E-06,2.34E-06,76.4,38.2,1.45E-06,1.79E-06,-4.31E-07,2.34E-06,51.009,-10.6176,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:24:34 PM,1,,,0,,,103
Ikon_magnetite_<100>_02,98,4.31E-07,1.78E-06,1.44E-06,2.33E-06,76.4,38.2,1.44E-06,1.78E-06,-4.31E-07,2.33E-06,51.0202,-10.6659,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:25:25 PM,1,,,0,,,98
Ikon_magnetite_<100>_02,93,4.32E-07,1.77E-06,1.43E-06,2.32E-06,76.3,38.2,1.43E-06,1.77E-06,-4.32E-07,2.32E-06,51.0397,-10.7386,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:26:19 PM,1,,,0,,,93
Ikon_magnetite_<100>_02,88,4.35E-07,1.76E-06,1.43E-06,2.31E-06,76.1,38.3,1.43E-06,1.76E-06,-4.35E-07,2.31E-06,50.9151,-10.8536,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:27:17 PM,1,,,0,,,88
Ikon_magnetite_<100>_02,83,4.39E-07,1.76E-06,1.42E-06,2.31E-06,76,38.1,1.42E-06,1.76E-06,-4.39E-07,2.31E-06,51.0396,-10.9749,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:28:19 PM,1,,,0,,,83
