specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,23,4.76E-07,1.77E-06,1.34E-06,2.27E-06,74.9,36.3,1.34E-06,1.77E-06,-4.76E-07,2.27E-06,52.7127,-12.1152,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:41:06 PM,1,,,0,,,23
Ikon_magnetite_<100>_02,33,4.74E-07,1.76E-06,1.34E-06,2.26E-06,74.9,36.4,1.34E-06,1.76E-06,-4.74E-07,2.26E-06,52.6677,-12.078,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:43:08 PM,1,,,0,,,33
Ikon_magnetite_<100>_02,43,4.71E-07,1.76E-06,1.35E-06,2.26E-06,75,36.5,1.35E-06,1.76E-06,-4.71E-07,2.26E-06,52.5409,-12.0065,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:46:12 PM,1,,,0,,,43
Ikon_magnetite_<100>_02,53,4.64E-07,1.75E-06,1.35E-06,2.26E-06,75.2,36.8,1.35E-06,1.75E-06,-4.64E-07,2.26E-06,52.2701,-11.8382,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:48:50 PM,1,,,0,,,53
Ikon_magnetite_<100>_02,63,4.56E-07,1.74E-06,1.37E-06,2.26E-06,75.3,37.2,1.37E-06,1.74E-06,-4.56E-07,2.26E-06,51.8981,-11.6328,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:50:39 PM,1,,,0,,,63
Ikon_magnetite_<100>_02,73,4.46E-07,1.74E-06,1.39E-06,2.27E-06,75.6,37.7,1.39E-06,1.74E-06,-4.46E-07,2.27E-06,51.4079,-11.3509,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:52:39 PM,1,,,0,,,73
Ikon_magnetite_<100>_02,83,4.44E-07,1.73E-06,1.41E-06,2.28E-06,75.6,38.1,1.41E-06,1.73E-06,-4.44E-07,2.28E-06,50.9637,-11.2527,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:55:13 PM,1,,,0,,,83
Ikon_magnetite_<100>_02,93,4.32E-07,1.73E-06,1.42E-06,2.28E-06,76,38.6,1.42E-06,1.73E-06,-4.32E-07,2.28E-06,50.5665,-10.8972,,,,,,,,,,,,,,RM(Tmeas),4/22/10,2:59:00 PM,1,,,0,,,93
Ikon_magnetite_<100>_02,98,4.27E-07,1.73E-06,1.44E-06,2.29E-06,76.1,38.9,1.44E-06,1.73E-06,-4.27E-07,2.29E-06,50.2947,-10.7538,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:01:03 PM,1,,,0,,,98
Ikon_magnetite_<100>_02,103,4.21E-07,1.72E-06,1.44E-06,2.29E-06,76.3,39.1,1.44E-06,1.72E-06,-4.21E-07,2.29E-06,50.0468,-10.5902,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:03:30 PM,1,,,0,,,103
Ikon_magnetite_<100>_02,105,4.19E-07,1.72E-06,1.45E-06,2.29E-06,76.3,39.3,1.45E-06,1.72E-06,-4.19E-07,2.29E-06,49.9016,-10.5448,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:04:39 PM,1,,,0,,,105
Ikon_magnetite_<100>_02,107,4.17E-07,1.72E-06,1.45E-06,2.29E-06,76.4,39.3,1.45E-06,1.72E-06,-4.17E-07,2.29E-06,49.8476,-10.4869,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:05:32 PM,1,,,0,,,107
Ikon_magnetite_<100>_02,109,4.14E-07,1.72E-06,1.45E-06,2.29E-06,76.4,39.5,1.45E-06,1.72E-06,-4.14E-07,2.29E-06,49.7261,-10.439,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:06:35 PM,1,,,0,,,109
Ikon_magnetite_<100>_02,111,4.10E-07,1.71E-06,1.45E-06,2.28E-06,76.5,39.6,1.45E-06,1.71E-06,-4.10E-07,2.28E-06,49.6469,-10.3477,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:07:50 PM,1,,,0,,,111
Ikon_magnetite_<100>_02,113,5.03E-07,1.49E-06,1.16E-06,1.95E-06,71.4,36.4,1.16E-06,1.49E-06,-5.03E-07,1.95E-06,52.106,-14.9119,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:09:24 PM,1,,,0,,,113
Ikon_magnetite_<100>_02,115,2.85E-07,8.09E-07,9.87E-07,1.31E-06,70.6,49,9.87E-07,8.09E-07,-2.85E-07,1.31E-06,39.3518,-12.6024,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:10:27 PM,1,,,0,,,115
Ikon_magnetite_<100>_02,117,2.73E-07,7.98E-07,9.97E-07,1.31E-06,71.1,49.8,9.97E-07,7.98E-07,-2.73E-07,1.31E-06,38.6532,-12.064,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:11:42 PM,1,,,0,,,117
Ikon_magnetite_<100>_02,119,2.77E-07,8.55E-07,1.01E-06,1.35E-06,72,48.4,1.01E-06,8.55E-07,-2.77E-07,1.35E-06,40.1739,-11.8237,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:12:48 PM,1,,,0,,,119
Ikon_magnetite_<100>_02,121,2.83E-07,9.29E-07,1.05E-06,1.43E-06,73.1,47.1,1.05E-06,9.29E-07,-2.83E-07,1.43E-06,41.6177,-11.4374,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:14:23 PM,1,,,0,,,121
Ikon_magnetite_<100>_02,123,2.91E-07,9.81E-07,1.07E-06,1.48E-06,73.5,46.3,1.07E-06,9.81E-07,-2.91E-07,1.48E-06,42.4587,-11.3367,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:15:51 PM,1,,,0,,,123
Ikon_magnetite_<100>_02,125,3.11E-07,1.02E-06,1.09E-06,1.53E-06,73.1,45.7,1.09E-06,1.02E-06,-3.11E-07,1.53E-06,43.077,-11.723,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:17:29 PM,1,,,0,,,125
Ikon_magnetite_<100>_02,127,3.27E-07,1.08E-06,1.12E-06,0.000001586,73.1,44.8,1.12E-06,1.08E-06,-3.27E-07,0.000001586,43.9054,-11.907,,,,,,,,,,,,,,RM(Tmeas),4/22/10,3:19:20 PM,1,,,0,,,127
