specimen,Meas_T[K],Mx[Am2],My[Am2],Mz[Am2],Mtot [Am2],Dec,Inc,Mx-bcorr,My-bcorr,Mz-bcorr,Mt-bcorr,Dec-bcorr,Inc-bcorr,MN [Am2],ME [Am2],MV [Am2],Mtot [Am2],Dec [deg],Inc [deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,description,Meas_T [K]
Ikon_magnetite_<100>_02,38,-2.66E-06,8.41E-09,4.43E-07,2.69E-06,179.8,9.5,-2.63E-06,3.43E-08,-3.87E-08,2.63E-06,179.3,-0.8,4.43E-07,8.41E-09,2.66E-06,2.69E-06,1.08724,80.5212,,,,,,,,,,,,,,RM(Tmeas),4/26/10,1:59:50 PM,3,,,0,,,38
Ikon_magnetite_<100>_02,53,-2.64E-06,9.64E-09,4.61E-07,2.68E-06,179.8,9.9,-2.61E-06,3.74E-08,-4.46E-08,2.61E-06,179.2,-1,4.61E-07,9.64E-09,2.64E-06,2.68E-06,1.19729,80.0827,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:01:54 PM,3,,,0,,,53
Ikon_magnetite_<100>_02,58,-2.64E-06,9.41E-09,4.63E-07,2.68E-06,179.8,10,-2.60E-06,3.78E-08,-5.09E-08,2.61E-06,179.2,-1.1,4.63E-07,9.41E-09,2.64E-06,2.68E-06,1.16547,80.0412,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:02:28 PM,3,,,0,,,58
Ikon_magnetite_<100>_02,59,-2.64E-06,9.73E-09,4.65E-07,2.68E-06,179.8,10,-2.60E-06,3.83E-08,-5.05E-08,2.60E-06,179.2,-1.1,4.65E-07,9.73E-09,2.64E-06,2.68E-06,1.20003,79.9972,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:03:02 PM,3,,,0,,,59
Ikon_magnetite_<100>_02,63,-2.63E-06,1.06E-08,4.68E-07,2.67E-06,179.8,10.1,-2.60E-06,3.96E-08,-5.39E-08,2.60E-06,179.1,-1.2,4.68E-07,1.06E-08,2.63E-06,2.67E-06,1.2985,79.9257,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:03:44 PM,3,,,0,,,63
Ikon_magnetite_<100>_02,65,-2.63E-06,6.45E-09,4.76E-07,2.68E-06,179.9,10.3,-2.60E-06,3.57E-08,-4.84E-08,2.60E-06,179.2,-1.1,4.76E-07,6.45E-09,2.63E-06,2.68E-06,0.77564,79.7472,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:07:16 PM,3,,,0,,,65
Ikon_magnetite_<100>_02,68,-2.63E-06,6.94E-09,4.82E-07,2.67E-06,179.8,10.4,-2.59E-06,3.66E-08,-4.77E-08,2.59E-06,179.2,-1.1,4.82E-07,6.94E-09,2.63E-06,2.67E-06,0.825125,79.61,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:08:04 PM,3,,,0,,,68
Ikon_magnetite_<100>_02,73,-2.62E-06,8.36E-09,4.87E-07,0.000002668,179.8,10.5,-2.59E-06,3.86E-08,-5.06E-08,2.59E-06,179.1,-1.1,4.87E-07,8.36E-09,2.62E-06,0.000002668,0.98427,79.4858,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:09:34 PM,3,,,0,,,73
Ikon_magnetite_<100>_02,78,-2.62E-06,7.75E-09,4.90E-07,2.66E-06,179.8,10.6,-2.58E-06,3.86E-08,-5.56E-08,2.58E-06,179.1,-1.2,4.90E-07,7.75E-09,2.62E-06,2.66E-06,0.907174,79.4081,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:11:26 PM,3,,,0,,,78
Ikon_magnetite_<100>_02,83,-2.62E-06,7.72E-09,4.95E-07,2.66E-06,179.8,10.7,-2.58E-06,3.92E-08,-5.82E-08,2.58E-06,179.1,-1.3,4.95E-07,7.72E-09,2.62E-06,2.66E-06,0.893502,79.2823,,,,,,,,,,,,,,RM(Tmeas),4/26/10,2:13:39 PM,3,,,0,,,83
