T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
230.524,0,0.001496214,0.9876467,5/7/2010 4:01:07 PM
235.5021,0,0.001570927,0.9869069,5/7/2010 4:02:07 PM
240.473,0,0.001665909,0.9863375,5/7/2010 4:03:06 PM
245.0074,0,0.00188783,0.9847297,5/7/2010 4:08:55 PM
250.4194,0,0.002137455,0.9830477,5/7/2010 4:11:50 PM
250.5963,0,0.002169784,0.9826204,5/7/2010 4:13:46 PM
251.0754,0,0.00219744,0.9824458,5/7/2010 4:16:13 PM
251.5614,0,0.002233359,0.9822538,5/7/2010 4:18:44 PM
252.0542,0,0.002272545,0.9820584,5/7/2010 4:21:16 PM
252.5589,0,0.002315338,0.9818078,5/7/2010 4:23:48 PM
253.056,0,0.002362076,0.9815711,5/7/2010 4:26:21 PM
253.5553,0,0.00241428,0.9812817,5/7/2010 4:28:52 PM
254.0518,0,0.002472747,0.9809961,5/7/2010 4:31:25 PM
254.5554,0,0.002538828,0.9806598,5/7/2010 4:33:57 PM
255.0512,0,0.002618423,0.980275,5/7/2010 4:36:28 PM
255.5491,0,0.002717625,0.9798379,5/7/2010 4:39:01 PM
256.0492,0,0.002841635,0.9792295,5/7/2010 4:41:33 PM
256.5563,0,0.003014284,0.9785292,5/7/2010 4:44:05 PM
257.0557,0,0.003258317,0.9778899,5/7/2010 4:46:38 PM
257.5519,0,0.003617398,0.9770772,5/7/2010 4:49:09 PM
258.0504,0,0.004136253,0.9761314,5/7/2010 4:51:42 PM
258.5305,0,0.005489571,0.9736683,5/7/2010 4:54:39 PM
259.0484,0,0.006402234,0.9727784,5/7/2010 4:57:13 PM
259.548,0,0.008458494,0.9722422,5/7/2010 4:59:46 PM
260.0497,0,0.010191954,0.9732571,5/7/2010 5:02:17 PM
260.5483,0,0.010836065,0.973393,5/7/2010 5:04:49 PM
261.0333,0,0.011170313,0.9735365,5/7/2010 5:07:22 PM
261.5464,0,0.011345148,0.9735562,5/7/2010 5:09:56 PM
262.0513,0,0.011480985,0.9735417,5/7/2010 5:12:28 PM
262.5529,0,0.011589871,0.9736489,5/7/2010 5:15:00 PM
263.0515,0,0.011667312,0.9736759,5/7/2010 5:17:33 PM
263.5638,0,0.011749482,0.9737268,5/7/2010 5:20:06 PM
264.04,0,0.011804216,0.9736924,5/7/2010 5:22:37 PM
264.5451,0,0.011860845,0.9736937,5/7/2010 5:25:11 PM
265.047,0,0.011904887,0.9736871,5/7/2010 5:27:44 PM
266.172,0,0.011987027,0.9736272,5/7/2010 5:29:32 PM
267.0325,0,0.012034554,0.9734471,5/7/2010 5:31:41 PM
268.0381,0,0.012113585,0.9735668,5/7/2010 5:33:28 PM
269.03,0,0.012190818,0.9736126,5/7/2010 5:35:21 PM
270.0416,0,0.012257725,0.9736288,5/7/2010 5:37:25 PM
271.0334,0,0.012309389,0.9736933,5/7/2010 5:39:26 PM
272.045,0,0.012354507,0.9737893,5/7/2010 5:41:28 PM
273.0364,0,0.01239228,0.9739038,5/7/2010 5:43:26 PM
274.0242,0,0.012425965,0.9739298,5/7/2010 5:45:25 PM
275.032,0,0.012451693,0.9739543,5/7/2010 5:47:26 PM
276.0365,0,0.012493425,0.9738514,5/7/2010 5:49:26 PM
277.0374,0,0.012524919,0.9738039,5/7/2010 5:51:27 PM
278.0464,0,0.012567351,0.9738814,5/7/2010 5:53:26 PM
279.0457,0,0.012589624,0.9738586,5/7/2010 5:55:27 PM
280.0286,0,0.012622233,0.9738624,5/7/2010 5:59:13 PM
285.3825,0,0.012743874,0.9739227,5/7/2010 6:02:11 PM
290.5338,0,0.012800326,0.9738311,5/7/2010 6:03:55 PM
295.6003,0,0.012873295,0.9737834,5/7/2010 6:04:49 PM
300.5073,0,0.013014513,0.9744785,5/7/2010 6:07:17 PM
