T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
19.99694,0,0.001128971,0.9897048,5/7/2010 3:18:51 PM
25.49144,0,0.001128866,0.9896542,5/7/2010 3:20:10 PM
30.5616,0,0.001128869,0.9896147,5/7/2010 3:21:11 PM
35.57994,0,0.001128164,0.9896128,5/7/2010 3:22:12 PM
40.53156,0,0.001127881,0.9896534,5/7/2010 3:23:12 PM
45.60596,0,0.001126875,0.9897878,5/7/2010 3:24:13 PM
50.61131,0,0.001125934,0.9898536,5/7/2010 3:25:14 PM
55.5249,0,0.001124549,0.9897923,5/7/2010 3:26:13 PM
60.58437,0,0.001123236,0.9896986,5/7/2010 3:27:14 PM
65.59598,0,0.001122493,0.9897546,5/7/2010 3:28:14 PM
70.58987,0,0.001120916,0.989613,5/7/2010 3:29:13 PM
75.4932,0,0.001119645,0.9897581,5/7/2010 3:30:12 PM
80.49706,0,0.001118019,0.9898579,5/7/2010 3:31:12 PM
85.56248,0,0.001116475,0.989796,5/7/2010 3:32:12 PM
90.49234,0,0.00111559,0.9897395,5/7/2010 3:33:11 PM
95.5534,0,0.00111469,0.9897059,5/7/2010 3:34:11 PM
100.5715,0,0.001114194,0.9899537,5/7/2010 3:35:12 PM
105.4969,0,0.001113487,0.9899803,5/7/2010 3:36:10 PM
110.5548,0,0.001113537,0.9898856,5/7/2010 3:37:11 PM
115.5014,0,0.00111464,0.9899394,5/7/2010 3:38:09 PM
120.5474,0,0.001116538,0.9901528,5/7/2010 3:39:10 PM
125.6272,0,0.001123958,0.9902354,5/7/2010 3:40:10 PM
130.4928,0,0.001134894,0.9902726,5/7/2010 3:41:09 PM
135.5993,0,0.001143401,0.9904615,5/7/2010 3:42:09 PM
140.6041,0,0.001149541,0.9907094,5/7/2010 3:43:09 PM
145.4062,0,0.001155146,0.9905469,5/7/2010 3:44:09 PM
150.5024,0,0.001161235,0.9904454,5/7/2010 3:45:08 PM
155.6621,0,0.001167485,0.9906768,5/7/2010 3:46:10 PM
160.5355,0,0.001173671,0.9907241,5/7/2010 3:47:09 PM
165.5245,0,0.001180966,0.990494,5/7/2010 3:48:09 PM
170.6129,0,0.001189628,0.9905422,5/7/2010 3:49:09 PM
175.4612,0,0.0011985,0.9906635,5/7/2010 3:50:07 PM
180.5309,0,0.001209331,0.9904268,5/7/2010 3:51:09 PM
185.5699,0,0.001221982,0.9902592,5/7/2010 3:52:08 PM
190.4725,0,0.00123617,0.9903426,5/7/2010 3:53:07 PM
195.5631,0,0.001252454,0.9901558,5/7/2010 3:54:08 PM
200.5637,0,0.001272144,0.9899106,5/7/2010 3:55:08 PM
205.5629,0,0.001294857,0.9897799,5/7/2010 3:56:08 PM
210.5243,0,0.001321157,0.9896311,5/7/2010 3:57:08 PM
215.5076,0,0.001352942,0.9890725,5/7/2010 3:58:07 PM
220.5087,0,0.001391849,0.9886294,5/7/2010 3:59:06 PM
225.5251,0,0.00143738,0.988306,5/7/2010 4:00:06 PM
