specimen,Mx[Am2],My[Am2],Mz[Am2],MN[Am2],ME[Am2],MV[Am2],Mtot[Am2],Dec[deg],Inc[deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,Description,Meas_T[K],Mode,Type
Labrador hematite 02a,6.47963E-07,4.06319E-06,-6.24022E-05,-6.24022E-05,4.06319E-06,-6.47963E-07,6.25377E-05,-183.725,-0.593661,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,10:05:04 AM,1,,,0,,initial state is pulsed IRM along z' axis,296,DISCRETE,
Labrador hematite 02a,5.05805E-07,3.63297E-06,-0.0000623,-0.0000623,3.63297E-06,-5.05805E-07,6.24079E-05,-183.337,-0.464377,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,10:10:23 AM,1,,,0,,initial state is pulsed IRM along z' axis cryo on stand moved slightly,296,DISCRETE,
Labrador hematite 02a,4.70247E-07,3.62009E-06,-6.22799E-05,-6.22799E-05,3.62009E-06,-4.70247E-07,6.23868E-05,-183.327,-0.431877,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,10:46:43 AM,1,,,0,,,295.9,DISCRETE,
Labrador hematite 02a,4.46865E-07,3.57489E-06,-0.00006231,-0.00006231,3.57489E-06,-4.46865E-07,6.24141E-05,-183.284,-0.410223,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:02:55 AM,1,,,0,,,295,DISCRETE,
Labrador hematite 02a,4.38869E-07,3.53609E-06,-0.00006234,-0.00006234,3.53609E-06,-4.38869E-07,6.24417E-05,-183.246,-0.402704,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:09:44 AM,1,,,0,,,294,DISCRETE,
Labrador hematite 02a,4.46011E-07,3.52217E-06,-6.23999E-05,-6.23999E-05,3.52217E-06,-4.46011E-07,6.25008E-05,-183.231,-0.408871,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:16:46 AM,1,,,0,,,292.45,DISCRETE,
Labrador hematite 02a,4.30854E-07,3.44803E-06,-0.00006244,-0.00006244,3.44803E-06,-4.30854E-07,6.25366E-05,-183.161,-0.39475,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:23:07 AM,1,,,0,,,290.6,DISCRETE,
Labrador hematite 02a,4.22376E-07,3.39698E-06,-0.00006247,-0.00006247,3.39698E-06,-4.22376E-07,6.25638E-05,-183.113,-0.386814,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:27:27 AM,1,,,0,,,289,DISCRETE,
Labrador hematite 02a,4.00447E-07,3.34904E-06,-6.25099E-05,-6.25099E-05,3.34904E-06,-4.00447E-07,6.26008E-05,-183.067,-0.366514,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:32:15 AM,1,,,0,,,287,DISCRETE,
Labrador hematite 02a,4.15489E-07,3.30211E-06,-0.00006254,-0.00006254,3.30211E-06,-4.15489E-07,6.26285E-05,-183.022,-0.380114,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:36:25 AM,1,,,0,,,285,DISCRETE,
Labrador hematite 02a,3.99743E-07,3.24073E-06,-0.00006256,-0.00006256,3.24073E-06,-3.99743E-07,6.26452E-05,-182.965,-0.365611,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:40:14 AM,1,,,0,,,283,DISCRETE,
Labrador hematite 02a,4.03419E-07,3.20897E-06,-0.00006257,-0.00006257,3.20897E-06,-4.03419E-07,6.26536E-05,-182.936,-0.368923,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:41:48 AM,1,,,0,,,282.15,DISCRETE,
Labrador hematite 02a,4.06356E-07,3.16697E-06,-6.25801E-05,-6.25801E-05,3.16697E-06,-4.06356E-07,6.26615E-05,-182.897,-0.371563,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:43:45 AM,1,,,0,,,281,DISCRETE,
Labrador hematite 02a,3.83947E-07,3.16096E-06,-0.00006257,-0.00006257,3.16096E-06,-3.83947E-07,6.26509E-05,-182.892,-0.351131,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:45:23 AM,1,,,0,,,280,DISCRETE,
Labrador hematite 02a,4.11586E-07,3.14412E-06,-0.00006258,-0.00006258,3.14412E-06,-4.11586E-07,6.26603E-05,-182.876,-0.376352,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:47:05 AM,1,,,0,,,279,DISCRETE,
Labrador hematite 02a,3.81653E-07,3.1141E-06,-6.25699E-05,-6.25699E-05,3.1141E-06,-3.81653E-07,6.26485E-05,-182.849,-0.349046,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:48:28 AM,1,,,0,,,278,DISCRETE,
Labrador hematite 02a,3.89663E-07,3.07917E-06,-6.25599E-05,-6.25599E-05,3.07917E-06,-3.89663E-07,6.26368E-05,-182.818,-0.356439,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:49:52 AM,1,,,0,,,277,DISCRETE,
Labrador hematite 02a,3.90985E-07,3.05207E-06,-0.00006255,-0.00006255,3.05207E-06,-3.90985E-07,6.26256E-05,-182.793,-0.357712,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:51:18 AM,1,,,0,,,276,DISCRETE,
Labrador hematite 02a,3.86879E-07,3.0281E-06,-6.25299E-05,-6.25299E-05,3.0281E-06,-3.86879E-07,6.26044E-05,-182.772,-0.354076,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:52:44 AM,1,,,0,,,275,DISCRETE,
Labrador hematite 02a,3.80206E-07,3.02417E-06,-6.25099E-05,-6.25099E-05,3.02417E-06,-3.80206E-07,6.25841E-05,-182.77,-0.348081,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:53:55 AM,1,,,0,,,274,DISCRETE,
Labrador hematite 02a,3.63926E-07,2.99201E-06,-6.24801E-05,-6.24801E-05,2.99201E-06,-3.63926E-07,6.25527E-05,-182.742,-0.333344,,,,,,,,,,,,,,RM(Tmeas),4/21/2010,11:55:13 AM,1,,,0,,,273,DISCRETE,
