specimen,Mx[Am2],My[Am2],Mz[Am2],MN[Am2],ME[Am2],MV[Am2],Mtot[Am2],Dec[deg],Inc[deg],Jnrm [Am2/kg],Jtrm [Am2/kg],Jarm [Am2/kg],Jirm [Am2/kg],Jnrm [A/m],Jtrm [A/m],Jarm [A/m],Jirm [A/m],AF [mT],T [C],Hdc [mT],Hdc dec [deg],Hdc inc [deg],data type,date,time,series,position[cm],Drift_ratio,Ja/Jr,run#,Description,Meas_T[K],Mode,Type
CF-blank,-9.00E-08,-5.65E-08,9.08E-07,9.08E-07,-5.65E-08,9.00E-08,9.15E-07,-3.55585,5.64831,,,,,,,,,,,,,,RM(Tmeas),4/28/10,9:01:38 AM,2,,,0,,294.95,295.474,DISCRETE,
CF-blank,-9.06E-08,-5.67E-08,9.11E-07,9.11E-07,-5.67E-08,9.06E-08,9.17E-07,-3.56122,5.66755,,,,,,,,,,,,,,RM(Tmeas),4/28/10,9:03:50 AM,2,,,0,,294.97,295.493,DISCRETE,
CF-blank,-8.79E-08,-5.85E-08,9.04E-07,9.04E-07,-5.85E-08,8.79E-08,9.10E-07,-3.70325,5.54357,,,,,,,,,,,,,,RM(Tmeas),4/28/10,10:37:43 AM,2,,,0,,282.16,280.968,DISCRETE,
CF-blank,-8.63E-08,-5.90E-08,8.96E-07,8.96E-07,-5.90E-08,8.63E-08,9.02E-07,-3.76811,5.48705,,,,,,,,,,,,,,RM(Tmeas),4/28/10,10:57:57 AM,2,,,0,,268.15,265.31,DISCRETE,
CF-blank,-8.52E-08,-5.87E-08,8.89E-07,8.89E-07,-5.87E-08,8.52E-08,8.95E-07,-3.77306,5.45894,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:04:49 AM,2,,,0,,261.55,258.159,DISCRETE,
CF-blank,-8.42E-08,-5.88E-08,8.84E-07,8.84E-07,-5.88E-08,8.42E-08,8.90E-07,-3.80428,5.42859,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:11:38 AM,2,,,0,,254.07,249.937,DISCRETE,
CF-blank,-8.39E-08,-5.84E-08,8.79E-07,8.79E-07,-5.84E-08,8.39E-08,8.84E-07,-3.80358,5.4413,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:15:10 AM,2,,,0,,249.44,245.176,DISCRETE,
CF-blank,-8.28E-08,-5.82E-08,8.73E-07,8.73E-07,-5.82E-08,8.28E-08,8.79E-07,-3.81223,5.40862,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:18:25 AM,2,,,0,,245.06,240.429,DISCRETE,
CF-blank,-8.09E-08,-5.84E-08,8.67E-07,8.67E-07,-5.84E-08,8.09E-08,8.73E-07,-3.85181,5.31441,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:21:56 AM,2,,,0,,239.92,235.033,DISCRETE,
CF-blank,-8.04E-08,-5.76E-08,8.62E-07,8.62E-07,-5.76E-08,8.04E-08,8.68E-07,-3.82187,5.31477,,,,,,,,,,,,,,RM(Tmeas),4/28/10,11:24:36 AM,2,,,0,,235.87,230.555,DISCRETE,
