T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
299.9905,0,0.041991253,0.9705527,5/7/2010 12:11:45 PM,19.99694,0,0.001128971,0.9897048,5/7/10 15:18
294.3364,0,0.041716043,0.9703414,5/7/2010 12:15:20 PM,25.49144,0,0.001128866,0.9896542,5/7/10 15:20
289.1934,0,0.041456254,0.9700639,5/7/2010 12:16:10 PM,30.5616,0,0.001128869,0.9896147,5/7/10 15:21
284.0423,0,0.041178517,0.9697746,5/7/2010 12:16:56 PM,35.57994,0,0.001128164,0.9896128,5/7/10 15:22
279.7256,0,0.04068214,0.9699271,5/7/2010 12:19:34 PM,40.53156,0,0.001127881,0.9896534,5/7/10 15:23
278.4633,0,0.040643499,0.9700974,5/7/2010 12:21:26 PM,45.60596,0,0.001126875,0.9897878,5/7/10 15:24
277.6165,0,0.040686198,0.9702795,5/7/2010 12:22:00 PM,50.61131,0,0.001125934,0.9898536,5/7/10 15:25
276.6377,0,0.040678409,0.9703361,5/7/2010 12:22:29 PM,55.5249,0,0.001124549,0.9897923,5/7/10 15:26
275.7051,0,0.040631849,0.9704087,5/7/2010 12:23:02 PM,60.58437,0,0.001123236,0.9896986,5/7/10 15:27
274.7737,0,0.04055116,0.9704509,5/7/2010 12:23:45 PM,65.59598,0,0.001122493,0.9897546,5/7/10 15:28
273.8843,0,0.040588143,0.9709122,5/7/2010 12:33:41 PM,70.58987,0,0.001120916,0.989613,5/7/10 15:29
272.8918,0,0.040516231,0.9708169,5/7/2010 12:35:20 PM,75.4932,0,0.001119645,0.9897581,5/7/10 15:30
271.9131,0,0.040433014,0.9707822,5/7/2010 12:37:18 PM,80.49706,0,0.001118019,0.9898579,5/7/10 15:31
270.9026,0,0.040336134,0.9707593,5/7/2010 12:39:23 PM,85.56248,0,0.001116475,0.989796,5/7/10 15:32
269.9063,0,0.040239846,0.9707342,5/7/2010 12:41:21 PM,90.49234,0,0.00111559,0.9897395,5/7/10 15:33
268.907,0,0.040129648,0.9707143,5/7/2010 12:43:21 PM,95.5534,0,0.00111469,0.9897059,5/7/10 15:34
267.9106,0,0.040004541,0.9707176,5/7/2010 12:45:24 PM,100.5715,0,0.001114194,0.9899537,5/7/10 15:35
266.9006,0,0.039873196,0.9707582,5/7/2010 12:47:25 PM,105.4969,0,0.001113487,0.9899803,5/7/10 15:36
265.1823,0,0.039601185,0.9708426,5/7/2010 12:50:56 PM,110.5548,0,0.001113537,0.9898856,5/7/10 15:37
265.0389,0,0.039613407,0.970975,5/7/2010 12:51:09 PM,115.5014,0,0.00111464,0.9899394,5/7/10 15:38
264.0749,0,0.039384381,0.970861,5/7/2010 12:53:02 PM,120.5474,0,0.001116538,0.9901528,5/7/10 15:39
263.4277,0,0.039141801,0.9708487,5/7/2010 12:55:47 PM,125.6272,0,0.001123958,0.9902354,5/7/10 15:40
