T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
262.8895,0,0.039008471,0.9708453,5/7/2010 12:58:29 PM,130.4928,0,0.001134894,0.9902726,5/7/10 15:41
262.3997,0,0.038835008,0.970848,5/7/2010 1:01:07 PM,135.5993,0,0.001143401,0.9904615,5/7/10 15:42
261.9039,0,0.038602636,0.9708274,5/7/2010 1:03:44 PM,140.6041,0,0.001149541,0.9907094,5/7/10 15:43
261.4048,0,0.038270224,0.9708045,5/7/2010 1:06:23 PM,145.4062,0,0.001155146,0.9905469,5/7/10 15:44
260.9053,0,0.037665554,0.9707373,5/7/2010 1:09:03 PM,150.5024,0,0.001161235,0.9904454,5/7/10 15:45
260.4208,0,0.036387166,0.9704725,5/7/2010 1:11:40 PM,155.6621,0,0.001167485,0.9906768,5/7/10 15:46
259.9124,0,0.03308993,0.9694699,5/7/2010 1:14:21 PM,160.5355,0,0.001173671,0.9907241,5/7/10 15:47
259.419,0,0.025982338,0.9686479,5/7/2010 1:17:01 PM,165.5245,0,0.001180966,0.990494,5/7/10 15:48
258.8918,0,0.018939945,0.969715,5/7/2010 1:19:43 PM,170.6129,0,0.001189628,0.9905422,5/7/10 15:49
258.4153,0,0.014551654,0.9715161,5/7/2010 1:22:31 PM,175.4612,0,0.0011985,0.9906635,5/7/10 15:50
257.918,0,0.01063023,0.9725847,5/7/2010 1:25:12 PM,180.5309,0,0.001209331,0.9904268,5/7/10 15:51
257.4073,0,0.008765025,0.9734,5/7/2010 1:27:50 PM,185.5699,0,0.001221982,0.9902592,5/7/10 15:52
256.9117,0,0.007388883,0.9743488,5/7/2010 1:30:26 PM,190.4725,0,0.00123617,0.9903426,5/7/10 15:53
256.408,0,0.006645742,0.9754137,5/7/2010 1:33:17 PM,195.5631,0,0.001252454,0.9901558,5/7/10 15:54
255.9164,0,0.005771072,0.9764966,5/7/2010 1:35:56 PM,200.5637,0,0.001272144,0.9899106,5/7/10 15:55
255.4045,0,0.005277418,0.9773654,5/7/2010 1:38:34 PM,205.5629,0,0.001294857,0.9897799,5/7/10 15:56
254.9122,0,0.004905481,0.9780085,5/7/2010 1:41:11 PM,210.5243,0,0.001321157,0.9896311,5/7/10 15:57
254.4218,0,0.00461631,0.9785849,5/7/2010 1:43:49 PM,215.5076,0,0.001352942,0.9890725,5/7/10 15:58
253.9091,0,0.004364979,0.9790906,5/7/2010 1:46:28 PM,220.5087,0,0.001391849,0.9886294,5/7/10 15:59
253.4181,0,0.004167514,0.9795027,5/7/2010 1:49:06 PM,225.5251,0,0.00143738,0.988306,5/7/10 16:00
252.8998,0,0.003996367,0.9799218,5/7/2010 1:51:45 PM,230.524,0,0.001496214,0.9876467,5/7/10 16:01
252.4252,0,0.003853615,0.980293,5/7/2010 1:54:21 PM,235.5021,0,0.001570927,0.9869069,5/7/10 16:02
251.9138,0,0.003726596,0.9806154,5/7/2010 1:57:00 PM,240.473,0,0.001665909,0.9863375,5/7/10 16:03
251.4072,0,0.003603602,0.9808602,5/7/2010 1:59:37 PM,245.0074,0,0.00188783,0.9847297,5/7/10 16:08
250.9099,0,0.003497874,0.9811277,5/7/2010 2:02:14 PM,250.4194,0,0.002137455,0.9830477,5/7/10 16:11
250.4147,0,0.003407635,0.9813704,5/7/2010 2:04:51 PM,250.5963,0,0.002169784,0.9826204,5/7/10 16:13
249.9003,0,0.003319326,0.9816241,5/7/2010 2:07:28 PM,251.0754,0,0.00219744,0.9824458,5/7/10 16:16
244.7937,0,0.002746175,0.9838954,5/7/2010 2:15:05 PM,251.5614,0,0.002233359,0.9822538,5/7/10 16:18
239.5117,0,0.002370371,0.9843685,5/7/2010 2:18:27 PM,252.0542,0,0.002272545,0.9820584,5/7/10 16:21
234.4085,0,0.002127209,0.9854727,5/7/2010 2:19:36 PM,252.5589,0,0.002315338,0.9818078,5/7/10 16:23
229.3014,0,0.001956106,0.9865091,5/7/2010 2:20:35 PM,253.056,0,0.002362076,0.9815711,5/7/10 16:26
224.0987,0,0.001828378,0.9874887,5/7/2010 2:21:31 PM,253.5553,0,0.00241428,0.9812817,5/7/10 16:28
219.2122,0,0.001737713,0.9878719,5/7/2010 2:22:24 PM,254.0518,0,0.002472747,0.9809961,5/7/10 16:31
214.286,0,0.001663296,0.9885453,5/7/2010 2:23:19 PM,254.5554,0,0.002538828,0.9806598,5/7/10 16:33
209.1194,0,0.001604885,0.9891625,5/7/2010 2:24:19 PM,255.0512,0,0.002618423,0.980275,5/7/10 16:36
204.2849,0,0.001558073,0.9895524,5/7/2010 2:25:19 PM,255.5491,0,0.002717625,0.9798379,5/7/10 16:39
199.3927,0,0.001517973,0.9898236,5/7/2010 2:26:24 PM,256.0492,0,0.002841635,0.9792295,5/7/10 16:41
194.2982,0,0.001479051,0.9902371,5/7/2010 2:27:34 PM,256.5563,0,0.003014284,0.9785292,5/7/10 16:44
188.3542,0,0.001449299,0.9907531,5/7/2010 2:28:58 PM,257.0557,0,0.003258317,0.9778899,5/7/10 16:46
184.4083,0,0.001421058,0.9904566,5/7/2010 2:29:55 PM,257.5519,0,0.003617398,0.9770772,5/7/10 16:49
179.2648,0,0.001392858,0.9906113,5/7/2010 2:31:01 PM,258.0504,0,0.004136253,0.9761314,5/7/10 16:51
174.2959,0,0.001367822,0.9907745,5/7/2010 2:32:05 PM,258.5305,0,0.005489571,0.9736683,5/7/10 16:54
169.3576,0,0.001344797,0.9908071,5/7/2010 2:33:05 PM,259.0484,0,0.006402234,0.9727784,5/7/10 16:57
164.2657,0,0.001321354,0.9908901,5/7/2010 2:34:07 PM,259.548,0,0.008458494,0.9722422,5/7/10 16:59
159.3742,0,0.001300345,0.9911374,5/7/2010 2:35:07 PM,260.0497,0,0.010191954,0.9732571,5/7/10 17:02
154.3524,0,0.001281303,0.9908664,5/7/2010 2:36:09 PM,260.5483,0,0.010836065,0.973393,5/7/10 17:04
149.3382,0,0.00125992,0.9906012,5/7/2010 2:37:08 PM,261.0333,0,0.011170313,0.9735365,5/7/10 17:07
144.3262,0,0.001238497,0.9905338,5/7/2010 2:38:09 PM,261.5464,0,0.011345148,0.9735562,5/7/10 17:09
139.2957,0,0.001217136,0.9903792,5/7/2010 2:39:09 PM,262.0513,0,0.011480985,0.9735417,5/7/10 17:12
134.3801,0,0.001195236,0.9900378,5/7/2010 2:40:09 PM,262.5529,0,0.011589871,0.9736489,5/7/10 17:15
129.3589,0,0.001171411,0.9897399,5/7/2010 2:41:07 PM,263.0515,0,0.011667312,0.9736759,5/7/10 17:17
124.2402,0,0.001144687,0.9894677,5/7/2010 2:42:07 PM,263.5638,0,0.011749482,0.9737268,5/7/10 17:20
119.2496,0,0.001127307,0.9893535,5/7/2010 2:43:06 PM,264.04,0,0.011804216,0.9736924,5/7/10 17:22
114.2811,0,0.001118906,0.9890069,5/7/2010 2:44:02 PM,264.5451,0,0.011860845,0.9736937,5/7/10 17:25
109.3793,0,0.001117938,0.9891784,5/7/2010 2:44:59 PM,265.047,0,0.011904887,0.9736871,5/7/10 17:27
104.2991,0,0.001113935,0.9890491,5/7/2010 2:45:56 PM,266.172,0,0.011987027,0.9736272,5/7/10 17:29
99.24358,0,0.001114467,0.9891675,5/7/2010 2:46:52 PM,267.0325,0,0.012034554,0.9734471,5/7/10 17:31
94.29431,0,0.001114391,0.9889966,5/7/2010 2:47:48 PM,268.0381,0,0.012113585,0.9735668,5/7/10 17:33
89.32269,0,0.001114834,0.9889664,5/7/2010 2:48:44 PM,269.03,0,0.012190818,0.9736126,5/7/10 17:35
84.25096,0,0.001117014,0.9890827,5/7/2010 2:49:37 PM,270.0416,0,0.012257725,0.9736288,5/7/10 17:37
79.24954,0,0.001118015,0.9891782,5/7/2010 2:50:29 PM,271.0334,0,0.012309389,0.9736933,5/7/10 17:39
74.20094,0,0.001119375,0.9892591,5/7/2010 2:51:21 PM,272.045,0,0.012354507,0.9737893,5/7/10 17:41
69.19563,0,0.001120049,0.9891196,5/7/2010 2:52:12 PM,273.0364,0,0.01239228,0.9739038,5/7/10 17:43
64.28795,0,0.001120805,0.9892959,5/7/2010 2:53:02 PM,274.0242,0,0.012425965,0.9739298,5/7/10 17:45
59.25902,0,0.001122366,0.9893455,5/7/2010 2:53:51 PM,275.032,0,0.012451693,0.9739543,5/7/10 17:47
54.19778,0,0.001122028,0.9895192,5/7/2010 2:54:39 PM,276.0365,0,0.012493425,0.9738514,5/7/10 17:49
49.31276,0,0.001124511,0.9895349,5/7/2010 2:55:26 PM,277.0374,0,0.012524919,0.9738039,5/7/10 17:51
44.22888,0,0.001125102,0.9894736,5/7/2010 2:56:12 PM,278.0464,0,0.012567351,0.9738814,5/7/10 17:53
39.22839,0,0.00112631,0.9895515,5/7/2010 2:56:56 PM,279.0457,0,0.012589624,0.9738586,5/7/10 17:55
34.29419,0,0.001128026,0.9895597,5/7/2010 2:57:42 PM,280.0286,0,0.012622233,0.9738624,5/7/10 17:59
29.36957,0,0.001128811,0.9895267,5/7/2010 2:58:31 PM,285.3825,0,0.012743874,0.9739227,5/7/10 18:02
24.36674,0,0.001128878,0.9894879,5/7/2010 2:59:24 PM,290.5338,0,0.012800326,0.9738311,5/7/10 18:03
19.98711,0,0.001128979,0.9897021,5/7/2010 3:17:40 PM,295.6003,0,0.012873295,0.9737834,5/7/10 18:04
,,,,,300.5073,0,0.013014513,0.9744785,5/7/10 18:07
