measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]	Measurement_series
25.69	-1.30E-07	1.42E-08	1.19E-08	1.31E-07	2
31.73	-1.31E-07	1.47E-08	1.29E-08	1.32E-07	2
37.67	-1.29E-07	1.39E-08	1.40E-08	1.31E-07	2
42.11	-1.27E-07	1.34E-08	1.52E-08	1.28E-07	2
46.7	-1.24E-07	1.33E-08	1.62E-08	1.26E-07	2
51.45	-1.22E-07	1.35E-08	1.71E-08	1.24E-07	2
54.6	-1.20E-07	1.38E-08	1.79E-08	1.22E-07	2
57.84	-1.18E-07	1.42E-08	1.86E-08	1.20E-07	2
61.81	-1.16E-07	1.42E-08	1.92E-08	1.19E-07	2
65.34	-1.15E-07	1.49E-08	2.00E-08	1.18E-07	2
68.82	-1.14E-07	1.51E-08	2.06E-08	1.17E-07	2
72.15	-1.13E-07	1.54E-08	2.12E-08	1.16E-07	2
75.12	-1.13E-07	1.58E-08	2.15E-08	1.17E-07	2
77.69	-1.12E-07	1.57E-08	2.19E-08	1.16E-07	2
81.1	-1.13E-07	1.59E-08	2.24E-08	1.16E-07	2
84.79	-1.15E-07	1.61E-08	2.25E-08	1.18E-07	2
88.54	-1.19E-07	1.63E-08	2.23E-08	1.22E-07	2
92.09	-1.24E-07	1.70E-08	2.15E-08	1.27E-07	2
95.81	-1.36E-07	1.64E-08	1.96E-08	1.38E-07	2
99.61	-2.03E-07	1.64E-08	1.88E-08	2.05E-07	2
102.84	-1.61E-07	1.64E-08	2.21E-08	1.64E-07	2
106.68	-1.76E-07	1.50E-08	3.31E-08	1.79E-07	2
110.03	-1.89E-07	1.31E-08	5.25E-08	1.97E-07	2
113.36	-2.00E-07	1.04E-08	8.09E-08	2.16E-07	2
116.87	-2.14E-07	9.70E-09	1.07E-07	2.39E-07	2
120.92	-2.31E-07	8.58E-09	1.37E-07	2.69E-07	2
124.95	-2.52E-07	7.45E-09	1.67E-07	3.02E-07	2
128.52	-2.81E-07	5.40E-09	1.92E-07	3.40E-07	2
131.58	-3.10E-07	4.11E-09	2.13E-07	3.76E-07	2
134.97	-3.36E-07	1.89E-09	2.24E-07	4.04E-07	2
138.09	-3.69E-07	3.93E-10	2.36E-07	4.38E-07	2
141.25	-4.01E-07	-1.37E-09	2.46E-07	4.71E-07	2
144.04	-4.33E-07	-2.68E-09	2.55E-07	5.02E-07	2
146.87	-4.63E-07	-4.19E-09	2.63E-07	5.32E-07	2
149.64	-4.85E-07	-5.59E-09	2.70E-07	5.55E-07	2
152.25	-5.15E-07	-7.01E-09	2.76E-07	5.84E-07	2
154.76	-5.42E-07	-8.71E-09	2.82E-07	6.11E-07	2
157.44	-5.68E-07	-1.01E-08	2.87E-07	6.36E-07	2
159.89	-5.93E-07	-1.21E-08	2.92E-07	6.62E-07	2
162.2	-6.20E-07	-1.45E-08	2.97E-07	6.88E-07	2
164.91	-6.42E-07	-1.68E-08	3.01E-07	7.09E-07	2
168.02	-6.72E-07	-2.02E-08	3.06E-07	7.39E-07	2
171.58	-7.08E-07	-2.42E-08	3.11E-07	7.74E-07	2
175.88	-7.44E-07	-2.64E-08	3.15E-07	8.08E-07	2
179.7	-7.76E-07	-2.68E-08	3.18E-07	8.39E-07	2
183.19	-7.95E-07	-2.68E-08	3.21E-07	8.57E-07	2
185.95	-8.17E-07	-2.71E-08	3.23E-07	8.79E-07	2
