PW10-7c,PW10-7c,PW10-7c,PW10-7c,PW10-7c,,PW10-7c,PW10-7c,PW10-7c,PW10-7c,PW10-7c,,PW10-7c,PW10-7c,PW10-7c,PW10-7c,PW10-7c,,PW10-7c,PW10-7c,PW10-7c,PW10-7c,PW10-7c,,PW10-7c,PW10-7c,PW10-7c,PW10-7c,PW10-7c
Js v. T,Js v. T,Js v. T,Js v. T,Js v. T,,"FC, remanence","FC, remanence","FC, remanence","FC, remanence","FC, remanence",,"ZFC, remanence","ZFC, remanence","ZFC, remanence","ZFC, remanence","ZFC, remanence",,RT remanence on cooling,RT remanence on cooling,RT remanence on cooling,RT remanence on cooling,RT remanence on cooling,,RT remanence warming,RT remanence warming,RT remanence warming,RT remanence warming,RT remanence warming
T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp,,T [K],Bapp [T],M [Am2/kg],reg fit,timestamp
299.9879,2.5,2.885055319,0.9901729,2/5/2013 4:13:32 PM,,19.99881,0,0.457038298,0.9900715,2/5/2013 5:27:50 PM,,19.99765,0,0.483919787,0.9881057,2/5/2013 7:43:34 PM,,300.0001,0,0.292515426,0.9897953,2/5/2013 8:53:56 PM,,19.9972,0,0.044147245,0.9871995,2/5/2013 10:03:51 PM
294.2503,2.5,2.899802128,0.9898401,2/5/2013 4:16:42 PM,,25.5937,0,0.434746064,0.9892923,2/5/2013 5:29:09 PM,,25.55709,0,0.465695957,0.9879194,2/5/2013 7:44:54 PM,,294.4174,0,0.292169574,0.9896348,2/5/2013 8:56:51 PM,,25.65808,0,0.04420533,0.9878144,2/5/2013 10:05:12 PM
288.9702,2.5,2.914909574,0.9896909,2/5/2013 4:17:28 PM,,30.62943,0,0.415489468,0.9890556,2/5/2013 5:30:10 PM,,30.55221,0,0.451774787,0.9880607,2/5/2013 7:45:55 PM,,289.014,0,0.291211809,0.9895102,2/5/2013 8:57:42 PM,,30.53962,0,0.044194883,0.9875835,2/5/2013 10:06:11 PM
283.9853,2.5,2.931989362,0.9895433,2/5/2013 4:18:06 PM,,35.51034,0,0.401148723,0.9884572,2/5/2013 5:31:10 PM,,35.59132,0,0.442284894,0.9879359,2/5/2013 7:46:57 PM,,283.8555,0,0.290106596,0.9893979,2/5/2013 8:58:22 PM,,35.66172,0,0.044042872,0.9870722,2/5/2013 10:07:14 PM
278.9876,2.5,2.951008511,0.9891694,2/5/2013 4:18:40 PM,,40.58522,0,0.389924894,0.9888737,2/5/2013 5:32:11 PM,,40.54948,0,0.434388298,0.9881073,2/5/2013 7:47:56 PM,,279.074,0,0.288958085,0.9890001,2/5/2013 8:58:58 PM,,40.49764,0,0.043838213,0.9879794,2/5/2013 10:08:12 PM
273.8754,2.5,2.971030851,0.989486,2/5/2013 4:19:16 PM,,45.53095,0,0.380720213,0.9895169,2/5/2013 5:33:11 PM,,45.57677,0,0.427169255,0.9887657,2/5/2013 7:48:57 PM,,274.0709,0,0.287399149,0.9888743,2/5/2013 8:59:35 PM,,45.51679,0,0.043572032,0.9881937,2/5/2013 10:09:13 PM
269.034,2.5,2.990526596,0.9891069,2/5/2013 4:19:54 PM,,50.63457,0,0.372148298,0.9898651,2/5/2013 5:34:13 PM,,50.64167,0,0.419295638,0.9884648,2/5/2013 7:49:58 PM,,269.0846,0,0.285846383,0.9888119,2/5/2013 9:00:14 PM,,50.59469,0,0.043280426,0.9884318,2/5/2013 10:10:14 PM
264.3311,2.5,3.01272234,0.9885563,2/5/2013 4:20:37 PM,,55.48656,0,0.364199043,0.989925,2/5/2013 5:35:11 PM,,55.5737,0,0.411660745,0.9890717,2/5/2013 7:50:58 PM,,264.1127,0,0.284074787,0.9888036,2/5/2013 9:00:59 PM,,55.64229,0,0.042988372,0.9889144,2/5/2013 10:11:14 PM
259.2837,2.5,3.035425532,0.9889958,2/5/2013 4:21:28 PM,,60.57861,0,0.356705638,0.9897323,2/5/2013 5:36:12 PM,,60.5472,0,0.404524787,0.9886621,2/5/2013 7:51:57 PM,,259.296,0,0.282066277,0.9885861,2/5/2013 9:01:51 PM,,60.53846,0,0.042748628,0.9886368,2/5/2013 10:12:13 PM
254.3419,2.5,3.057065957,0.9890769,2/5/2013 4:22:32 PM,,65.59653,0,0.349382979,0.9898565,2/5/2013 5:37:12 PM,,65.56238,0,0.397685,0.9888179,2/5/2013 7:52:57 PM,,254.3534,0,0.280130532,0.9888922,2/5/2013 9:02:53 PM,,65.60391,0,0.042481043,0.9885603,2/5/2013 10:13:14 PM
