specimen,step,intensity,dec_geo,inc_geo,dec_spec,inc_spec
PW10-7a,0,0.00110556,287.293,58.3894,131.3,49.4
PW10-7a,0,0.000362035,205.501,25.2998,331.1,65.1
PW10-7a,1,0.000365611,204.858,24.5883,330.4,64.2
PW10-7a,1.5,0.000368904,204.31,23.8222,330,63.3
PW10-7a,2,0.000371799,203.611,22.9525,329.4,62.3
PW10-7a,2.5,0.000374999,202.734,21.6491,328.9,60.8
PW10-7a,5,0.0003847,197.607,13.6244,326.2,51.5
PW10-7a,7.5,0.000347655,192.869,6.61028,323.9,43.2
PW10-7a,10,0.00027647,186.925,0.37743,320.2,35.1
PW10-7a,15,0.000213543,184.698,-2.60101,319.3,31.4
PW10-7a,20,0.000190283,187.394,-1.96207,321.9,33.2
PW10-7a,25,0.000169872,189.228,-1.56139,323.7,34.3
PW10-7a,30,0.000163322,189.053,-1.08822,323.3,34.6
PW10-7a,40,0.000144589,186.617,4.39975,317.7,38.6
PW10-7a,50,0.00014115,184.853,0.728249,317.8,34.5
