measurement_T[K]	Mx[Am2]	My[Am2]	Mz[Am2]	moment[Am2]	Measurement_series
293.03	7.47E-06	1.58E-07	2.37E-05	2.48E-05	1
292.9	-2.39E-06	-6.91E-06	2.37E-05	2.48E-05	1
293.3	-2.32E-06	-6.95E-06	2.37E-05	2.48E-05	2
293.59	-2.42E-06	-6.95E-06	2.37E-05	2.48E-05	2
293.26	-2.34E-06	-6.96E-06	2.37E-05	2.48E-05	2
292.23	-2.34E-06	-6.97E-06	2.37E-05	2.49E-05	2
291.18	-2.35E-06	-6.98E-06	2.38E-05	2.49E-05	2
290.43	-2.35E-06	-6.99E-06	2.38E-05	2.49E-05	2
289.33	-2.35E-06	-6.99E-06	2.38E-05	2.49E-05	2
288.09	-2.36E-06	-7.00E-06	2.38E-05	2.49E-05	2
286.95	-2.36E-06	-6.98E-06	2.38E-05	2.49E-05	2
285.8	-2.37E-06	-6.97E-06	2.38E-05	2.49E-05	2
284.68	-2.37E-06	-6.95E-06	2.38E-05	2.49E-05	2
283.48	-2.37E-06	-6.93E-06	2.38E-05	2.49E-05	2
282.29	-2.38E-06	-6.92E-06	2.38E-05	2.49E-05	2
281.06	-2.38E-06	-6.92E-06	2.38E-05	2.49E-05	2
279.86	-2.38E-06	-6.91E-06	2.39E-05	2.50E-05	2
278.63	-2.38E-06	-6.90E-06	2.39E-05	2.50E-05	2
277.38	-2.39E-06	-6.89E-06	2.39E-05	2.50E-05	2
276.16	-2.39E-06	-6.89E-06	2.39E-05	2.50E-05	2
274.92	-2.39E-06	-6.88E-06	2.39E-05	2.50E-05	2
273.62	-2.39E-06	-6.87E-06	2.39E-05	2.50E-05	2
272.35	-2.39E-06	-6.86E-06	2.39E-05	2.50E-05	2
270.99	-2.39E-06	-6.86E-06	2.39E-05	2.50E-05	2
269.75	-2.39E-06	-6.86E-06	2.40E-05	2.51E-05	2
268.46	-2.40E-06	-6.85E-06	2.39E-05	2.50E-05	2
267.11	-2.40E-06	-6.85E-06	2.39E-05	2.50E-05	2
265.85	-2.40E-06	-6.85E-06	2.40E-05	2.50E-05	2
264.43	-2.40E-06	-6.85E-06	2.40E-05	2.50E-05	2
263.13	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
261.79	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
260.5	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
259.09	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
257.74	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
256.43	-2.40E-06	-6.84E-06	2.40E-05	2.50E-05	2
255.07	-2.41E-06	-6.84E-06	2.40E-05	2.51E-05	2
253.72	-2.41E-06	-6.83E-06	2.40E-05	2.51E-05	2
252.31	-2.41E-06	-6.83E-06	2.40E-05	2.51E-05	2
250.9	-2.41E-06	-6.83E-06	2.40E-05	2.50E-05	2
249.46	-2.41E-06	-6.83E-06	2.40E-05	2.50E-05	2
247.86	-2.41E-06	-6.83E-06	2.40E-05	2.50E-05	2
246.42	-2.41E-06	-6.82E-06	2.40E-05	2.50E-05	2
244.99	-2.41E-06	-6.82E-06	2.40E-05	2.50E-05	2
243.52	-2.41E-06	-6.82E-06	2.40E-05	2.50E-05	2
242.03	-2.41E-06	-6.81E-06	2.39E-05	2.50E-05	2
240.54	-2.41E-06	-6.81E-06	2.39E-05	2.50E-05	2
239.05	-2.41E-06	-6.80E-06	2.39E-05	2.50E-05	2
237.47	-2.41E-06	-6.80E-06	2.39E-05	2.50E-05	2
235.64	-2.41E-06	-6.79E-06	2.39E-05	2.50E-05	2
234.05	-2.41E-06	-6.79E-06	2.39E-05	2.50E-05	2
232.49	-2.41E-06	-6.78E-06	2.39E-05	2.49E-05	2
230.88	-2.41E-06	-6.78E-06	2.39E-05	2.49E-05	2
229.29	-2.41E-06	-6.77E-06	2.38E-05	2.49E-05	2
227.63	-2.41E-06	-6.76E-06	2.38E-05	2.49E-05	2
226.13	-2.41E-06	-6.75E-06	2.38E-05	2.48E-05	2
224.31	-2.41E-06	-6.74E-06	2.38E-05	2.48E-05	2
222.75	-2.40E-06	-6.72E-06	2.37E-05	2.48E-05	2
221.21	-2.40E-06	-6.71E-06	2.37E-05	2.47E-05	2
219.57	-2.40E-06	-6.70E-06	2.37E-05	2.47E-05	2
217.92	-2.40E-06	-6.68E-06	2.36E-05	2.47E-05	2
216.15	-2.40E-06	-6.66E-06	2.36E-05	2.46E-05	2
214.46	-2.39E-06	-6.65E-06	2.35E-05	2.45E-05	2
212.61	-2.39E-06	-6.63E-06	2.35E-05	2.45E-05	2
210.95	-2.39E-06	-6.61E-06	2.34E-05	2.44E-05	2
209.14	-2.38E-06	-6.59E-06	2.33E-05	2.44E-05	2
207.29	-2.38E-06	-6.57E-06	2.33E-05	2.43E-05	2
205.6	-2.38E-06	-6.56E-06	2.32E-05	2.42E-05	2
