113.44	-3.69E-08	2.36E-08	-2.91E-07	2.94E-07	4
114.57	-3.79E-08	2.36E-08	-3.01E-07	3.05E-07	4
115.7	-3.94E-08	2.37E-08	-3.12E-07	3.15E-07	4
116.82	-4.00E-08	2.37E-08	-3.22E-07	3.26E-07	4
117.7	-4.15E-08	2.38E-08	-3.25E-07	3.28E-07	4
118.83	-4.22E-08	2.38E-08	-3.30E-07	3.34E-07	4
119.96	-4.34E-08	2.38E-08	-3.40E-07	3.43E-07	4
121.08	-4.54E-08	2.38E-08	-3.50E-07	3.53E-07	4
122.3	-4.59E-08	2.40E-08	-3.56E-07	3.60E-07	4
123.42	-4.71E-08	2.39E-08	-3.63E-07	3.67E-07	4
124.52	-4.84E-08	2.41E-08	-3.71E-07	3.75E-07	4
125.62	-4.97E-08	2.43E-08	-3.79E-07	3.83E-07	4
126.8	-5.09E-08	2.47E-08	-3.85E-07	3.89E-07	4
127.9	-5.23E-08	2.47E-08	-3.90E-07	3.95E-07	4
129.04	-5.30E-08	2.50E-08	-3.97E-07	4.01E-07	4
130.15	-5.43E-08	2.53E-08	-4.02E-07	4.07E-07	4
131.29	-5.52E-08	2.55E-08	-4.08E-07	4.12E-07	4
132.41	-5.61E-08	2.59E-08	-4.12E-07	4.17E-07	4
133.54	-5.64E-08	2.59E-08	-4.15E-07	4.20E-07	4
134.65	-5.68E-08	2.62E-08	-4.19E-07	4.24E-07	4
135.76	-5.66E-08	2.65E-08	-4.22E-07	4.27E-07	4
136.42	-5.72E-08	2.66E-08	-4.24E-07	4.29E-07	4
137.55	-5.79E-08	2.66E-08	-4.27E-07	4.32E-07	4
138.73	-5.77E-08	2.66E-08	-4.30E-07	4.34E-07	4
139.85	-5.79E-08	2.60E-08	-4.32E-07	4.37E-07	4
140.98	-5.85E-08	2.72E-08	-4.35E-07	4.39E-07	4
142.06	-5.86E-08	2.75E-08	-4.37E-07	4.42E-07	4
143.15	-5.93E-08	2.76E-08	-4.40E-07	4.44E-07	4
144.23	-5.98E-08	2.76E-08	-4.37E-07	4.42E-07	4
145.37	-5.96E-08	2.75E-08	-4.39E-07	4.44E-07	4
146.47	-6.02E-08	2.77E-08	-4.41E-07	4.46E-07	4
147.55	-6.02E-08	2.77E-08	-4.44E-07	4.49E-07	4
148.62	-6.03E-08	2.77E-08	-4.45E-07	4.50E-07	4
149.7	-6.04E-08	2.76E-08	-4.47E-07	4.52E-07	4
150.8	-6.14E-08	2.77E-08	-4.49E-07	4.54E-07	4
151.91	-6.08E-08	2.79E-08	-4.51E-07	4.56E-07	4
152.98	-6.13E-08	2.78E-08	-4.52E-07	4.57E-07	4
154.06	-6.16E-08	2.80E-08	-4.54E-07	4.59E-07	4
155.14	-6.15E-08	2.81E-08	-4.56E-07	4.61E-07	4
156.25	-6.17E-08	2.82E-08	-4.57E-07	4.62E-07	4
157.31	-6.20E-08	2.83E-08	-4.59E-07	4.64E-07	4
158.39	-6.18E-08	2.83E-08	-4.60E-07	4.65E-07	4
159.47	-6.20E-08	2.83E-08	-4.62E-07	4.67E-07	4
160.54	-6.27E-08	2.83E-08	-4.63E-07	4.68E-07	4
161.58	-6.27E-08	2.83E-08	-4.65E-07	4.70E-07	4
162.75	-6.36E-08	2.83E-08	-4.66E-07	4.71E-07	4
163.85	-6.32E-08	2.84E-08	-4.67E-07	4.72E-07	4
164.93	-6.34E-08	2.84E-08	-4.68E-07	4.74E-07	4
165.98	-6.36E-08	2.85E-08	-4.69E-07	4.75E-07	4
